,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,optimized_task_config_0,False,247.0,11.738111111111111,21.637272727272727,6.496,12.84535947712418,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_wait_turn,optimized_task_config_0,False,247.0,3.3,2.8181818181818183,3.8,3.294117647058824,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_idle_wait_turn,optimized_task_config_0,False,247.0,2.2333333333333334,2.0,2.4,2.215686274509804,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
var_mean_house_area,optimized_task_config_0,False,247.0,,,,196.17184807339052,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
Rop,optimized_task_config_0,False,247.0,,,,324.0,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_house_area,optimized_task_config_1,False,96.0,12.503777777777778,21.45272727272728,6.593500000000001,13.275065359477123,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_wait_turn,optimized_task_config_1,False,96.0,5.833333333333333,5.454545454545454,5.9,5.764705882352941,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_idle_wait_turn,optimized_task_config_1,False,96.0,5.133333333333334,4.2727272727272725,5.3,4.980392156862745,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
var_mean_house_area,optimized_task_config_1,False,96.0,,,,196.09366415694817,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
Rop,optimized_task_config_1,False,96.0,,,,321.0,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_house_area,optimized_task_config_100,False,40.0,19.54583333333333,40.125,12.2675,26.32183333333333,2.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
mean_wait_turn,optimized_task_config_100,False,40.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
mean_idle_wait_turn,optimized_task_config_100,False,40.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
var_mean_house_area,optimized_task_config_100,False,40.0,,,,144.37541511111112,2.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
Rop,optimized_task_config_100,False,40.0,,,,1.0,2.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
mean_house_area,optimized_task_config_101,False,195.0,11.1875,43.355,15.375,24.892000000000003,3.0,2.0,7.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,False
mean_wait_turn,optimized_task_config_101,False,195.0,1.5,1.5,1.0,1.4,3.0,2.0,7.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,False
mean_idle_wait_turn,optimized_task_config_101,False,195.0,1.0,1.5,1.0,1.2,3.0,2.0,7.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,False
var_mean_house_area,optimized_task_config_101,False,195.0,,,,280.190606,3.0,2.0,7.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,False
Rop,optimized_task_config_101,False,195.0,,,,3.0,3.0,2.0,7.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,False
mean_house_area,optimized_task_config_102,False,7.0,25.131666666666668,44.455,11.535,30.14166666666667,3.0,1.0,3.0,1.0,9.0,3.0,13.0,2.0,kwaitlist,1.2,ver2,priority,house_type,2.0,house_type,,False
