Optimizer Round,$y_{gt}$,$y_{predict}$
1,6.011476035314059,5.671333426655624
2,5.617762547585919,5.671333426655624
3,5.823887202802436,5.518186908303588
4,5.978037981116296,6.604780912692707
5,5.72998834094743,6.604780912692707
6,5.981395282875676,6.604780912692707
7,5.790197109806143,6.690973887333117
8,6.10085060154605,6.690973887333117
9,5.70299078880753,6.690973887333117
10,7.654267017219239,6.690973887333117
11,5.682423939942366,6.884832260438791
12,5.837922500635798,6.884832260438791
13,5.992935411004289,6.937246642105079
14,5.692506673156796,6.937246642105079
15,6.093979090918855,6.941537858514355
16,6.872221398183825,6.941537858514355
final,7.654267017219239,6.690973887333117
best $y_{gt}^{1}$,7.654267017219239,6.690973887333117
best $y_{gt}^{2}$,7.10379092918175,5.546787675215821
best $y_{gt}^{3}$,6.939032876101684,5.755765962198295
best $y_{predict}^{1}$,6.093979090918855,6.941537858514355
best $y_{predict}^{2}$,6.872221398183825,6.941537858514355
best $y_{predict}^{3}$,5.992935411004289,6.937246642105079
