$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$,finished_replace
$\pi_{KM}$,16.043333333333333,275.7146069716776,511.0,,0.4603545472521175,485.9,optimal_utility,,,True
$\pi_{optimized}$,15.7389$\pm$1.3715,222.8585$\pm$9.3482,269.0000$\pm$43.0000,1.9473$\pm$0.1139,0.4143$\pm$0.0460,435.6000$\pm$2.1000,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6.183278205588588,6.1478113153926,True
$\pi y_{gt}^1$,15.1249$\pm$2.1616,209.5125$\pm$14.0684,253.5000$\pm$16.5000,2.1183$\pm$0.3326,0.4309$\pm$0.0576,419.7500$\pm$0.5500,ver2_nofilter_multilist(1.8_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.921466921891596,5.828364881238691,True
$\pi y_{gt}^2$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.835669731762769,5.693703768051305,True
$\pi y_{gt}^3$,17.357996031746033,236.95058707207423,250.0,1.9285714285714288,0.3917568983583653,409.0,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.792010520535875,5.8182172796913525,True
$\pi y_{gt}^4$,15.8498$\pm$1.6399,222.2071$\pm$2.7492,271.5000$\pm$13.5000,2.0136$\pm$0.1088,0.4226$\pm$0.0482,421.8000$\pm$1.8000,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.3334289984199685,5.930187401737825,True
$\pi y_{gt}^5$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,5.425380431777056,5.450489193850246,True
$\pi y_{gt}^6$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.835669731762769,5.693703768051305,True
$\pi y_{gt}^7$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,5.425380431777056,5.450489193850246,True
$\pi y_{gt}^8$,12.4720$\pm$0.2818,188.1514$\pm$6.9376,268.0000$\pm$24.0000,3.7157$\pm$0.0098,0.5122$\pm$0.0069,402.2000$\pm$1.0000,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,5.342036177508275,5.210210373925861,True
$\pi y_{gt}^9$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.50779370082441,5.329784815909732,True
$\pi y_{gt}^10$,13.0303$\pm$0.3549,203.2230$\pm$1.9904,306.0000$\pm$3.0000,3.1078$\pm$0.6373,0.5000$\pm$0.0218,412.3500$\pm$20.7500,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.477942689293217,5.403105157114747,True
$\pi y_{predict}^1$,15.8498$\pm$1.6399,222.2071$\pm$2.7492,271.5000$\pm$13.5000,2.0136$\pm$0.1088,0.4226$\pm$0.0482,421.8000$\pm$1.8000,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.3334289984199685,5.930187401737825,True
$\pi y_{predict}^2$,15.8498$\pm$1.6399,222.2071$\pm$2.7492,271.5000$\pm$13.5000,2.0136$\pm$0.1088,0.4226$\pm$0.0482,421.8000$\pm$1.8000,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.3334289984199685,5.930187401737825,True
$\pi y_{predict}^3$,15.1249$\pm$2.1616,209.5125$\pm$14.0684,253.5000$\pm$16.5000,2.1183$\pm$0.3326,0.4309$\pm$0.0576,419.7500$\pm$0.5500,ver2_nofilter_multilist(1.8_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.921466921891596,5.828364881238691,True
$\pi y_{predict}^4$,17.357996031746033,236.95058707207423,250.0,1.9285714285714288,0.3917568983583653,409.0,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.792010520535875,5.8182172796913525,True
$\pi y_{predict}^5$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.835669731762769,5.693703768051305,True
$\pi y_{predict}^6$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.835669731762769,5.693703768051305,True
$\pi y_{predict}^7$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.835669731762769,5.693703768051305,True
$\pi y_{predict}^8$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,5.425380431777056,5.450489193850246,True
$\pi y_{predict}^9$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,5.425380431777056,5.450489193850246,True
$\pi y_{predict}^10$,11.3036$\pm$0.1882,163.7494$\pm$7.4002,246.5000$\pm$4.5000,3.8627$\pm$0.0392,0.5214$\pm$0.0019,402.7000$\pm$1.4000,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,5.425380431777056,5.450489193850246,True
