type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,12.875166666666669,22.380909090909093,5.520999999999999,13.48343137254902,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,2.7,3.8181818181818175,3.8,3.156862745098039,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.7333333333333334,1.0,2.6,1.7450980392156863,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,204.25407422786105,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,343.0,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,15.265289855072464,30.595,6.633611111111112,17.065575396825395,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,2.0,1.6,2.111111111111111,1.9285714285714288,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.5217391304347827,1.0,1.8888888888888888,1.4761904761904765,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,231.8200523970931,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,262.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,13.801014492753623,33.995,7.962499999999999,17.357996031746033,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.7826086956521738,1.7,2.555555555555556,1.9285714285714288,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.565217391304348,1.0,2.333333333333333,1.5952380952380951,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,236.95058707207423,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,250.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,11.210666666666668,14.45181818181818,9.0295,11.482058823529412,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,3.3,4.727272727272728,3.1,3.5686274509803924,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,2.2666666666666666,4.454545454545454,2.5,2.784313725490196,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,,,,159.79611975362036,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,,,,253.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,11.0475,14.45181818181818,9.40225,11.459166666666668,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,3.2666666666666666,4.636363636363637,3.5,3.607843137254902,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,2.2333333333333334,4.454545454545454,2.5,2.764705882352941,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,,,,158.8927133714597,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,,,,250.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,11.016,27.389090909090907,6.5685,13.675392156862744,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,3.2,3.272727272727273,4.5,3.4705882352941178,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,2.4,1.818181818181818,3.5,2.4901960784313726,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,223.58709134948097,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,327.0,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
