$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$,finished_replace
$\pi_{KM}$,16.043333333333333,275.7146069716776,511.0,,0.4603545472521175,485.9,optimal_utility,,,True
$\pi_{optimized}$,16.2143$\pm$0.3586,202.6315$\pm$6.6233,193.5000$\pm$32.5000,1.8810$\pm$0.0476,0.3741$\pm$0.0052,425.0500$\pm$11.9500,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5.892225189590965,5.847243892954781,True
$\pi y_{gt}^1$,16.7252$\pm$0.0263,217.0646$\pm$12.1664,212.5000$\pm$24.5000,1.7976$\pm$0.0119,0.3819$\pm$0.0011,414.0000$\pm$7.3000,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.864427248960188,5.642793000143479,True
$\pi y_{gt}^2$,15.9690$\pm$1.2456,224.3416$\pm$10.1524,285.0000$\pm$29.2062,2.3380$\pm$0.4094,0.4189$\pm$0.0331,414.5667$\pm$3.3248,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.486705297776821,5.470299123530975,True
$\pi y_{gt}^3$,12.4720$\pm$0.2818,188.1514$\pm$6.9376,268.0000$\pm$24.0000,3.7157$\pm$0.0098,0.5122$\pm$0.0069,402.2000$\pm$1.0000,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019,True
$\pi y_{gt}^4$,11.8625$\pm$0.3602,162.9376$\pm$9.5773,258.5000$\pm$14.5000,3.2255$\pm$0.2451,0.5087$\pm$0.0018,409.8500$\pm$0.0500,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,5.141882196661356,5.11743003741503,True
$\pi y_{gt}^5$,10.8480$\pm$0.2701,167.7015$\pm$10.0302,283.5000$\pm$29.5000,3.8529$\pm$0.1078,0.5532$\pm$0.0078,371.1500$\pm$1.0500,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,4.488704196107156,4.642155705123017,True
$\pi y_{gt}^6$,12.4720$\pm$0.2818,188.1514$\pm$6.9376,268.0000$\pm$24.0000,3.7157$\pm$0.0098,0.5122$\pm$0.0069,402.2000$\pm$1.0000,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019,True
$\pi y_{gt}^7$,13.0303$\pm$0.3549,203.2230$\pm$1.9904,306.0000$\pm$3.0000,3.1078$\pm$0.6373,0.5000$\pm$0.0218,412.3500$\pm$20.7500,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.053620727433959,4.888294280115011,True
$\pi y_{gt}^8$,13.8203$\pm$0.4093,216.1708$\pm$7.6166,333.0000$\pm$32.0000,2.7459$\pm$0.7051,0.4903$\pm$0.0163,409.8000$\pm$5.3000,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,4.199394716221979,4.59159142862725,True
