,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_settings,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,False,22.0,8.943111111111111,33.78727272727272,5.925,13.709869281045751,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,False,22.0,4.2,2.272727272727273,4.4,3.823529411764706,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,house_type
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,False,22.0,3.5,1.0909090909090908,4.4,3.156862745098039,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,False,22.0,,,,253.29260488487333,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,False,22.0,,,,364.0,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,False,13.0,4.344888888888889,14.651818181818184,4.49,6.5964052287581705,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,False,13.0,5.433333333333334,5.0,5.0,5.254901960784314,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,False,13.0,1.1,3.8181818181818175,1.0,1.6666666666666667,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,False,13.0,,,,157.165511914221,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,False,13.0,,,,197.0,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,housing_points,multi_list,2.0,portion_rentmoney
