type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,12.290333333333333,24.117272727272724,11.614583333333334,15.291329365079363,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,1.88,2.0,1.3333333333333333,1.8333333333333333,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,1.6,1.818181818181818,1.3333333333333333,1.619047619047619,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,,,,222.2447456038202,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,,,,167.0,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,13.845,27.823636363636364,11.284166666666666,17.140238095238097,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,1.84,1.818181818181818,2.1666666666666665,1.880952380952381,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,1.4,1.6363636363636365,1.5,1.4761904761904765,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,,,,220.6217089380196,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,,,,170.0,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,13.833800000000002,24.30545454545455,13.639583333333333,16.548630952380954,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,2.04,1.9090909090909087,1.1666666666666667,1.880952380952381,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,1.6,1.818181818181818,1.1666666666666667,1.5952380952380951,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,,,,199.9044296237245,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,,,,102.0,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,15.4968,27.85181818181818,10.397916666666667,18.004226190476192,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,1.92,1.818181818181818,1.6666666666666667,1.8571428571428568,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,1.48,1.4545454545454546,1.6666666666666667,1.5,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,,,,219.84799690452573,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,,,,190.0,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,13.956799999999998,28.152727272727272,6.93375,16.671488095238097,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
