type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,20.48388888888889,44.215,13.9375,24.7013782051282,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,1.6666666666666667,2.0,1.4,1.6923076923076923,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,1.5333333333333334,1.6666666666666667,1.4,1.5384615384615383,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,,,,126.56956757170448,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,1,,,,41.0,3,10,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,20.360294117647054,43.72285714285715,13.541,24.82379310344827,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,1.8235294117647056,1.8571428571428568,2.4,1.9310344827586208,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,1.4705882352941178,1.5714285714285714,1.6,1.5172413793103448,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,,,,128.78611588056546,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,2,,,,65.0,3,6,20,1,10,1,30,2,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,19.21361111111111,44.56,13.639583333333333,23.168083333333332,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,1.8333333333333333,1.8333333333333333,1.1666666666666667,1.7,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,1.5555555555555556,1.6666666666666667,1.1666666666666667,1.5,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,,,,126.5061770902778,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,3,,,,60.0,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,21.523333333333337,43.76714285714286,12.4775,25.20591666666667,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,2.055555555555556,1.8571428571428568,1.6,1.9333333333333331,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,1.6111111111111112,1.4285714285714286,1.6,1.5666666666666669,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,,,,126.26198566435184,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,4,,,,80.0,3,6,20,1,10,1,30,5,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,20.52470588235294,44.24,13.8675,25.93342592592593,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
