$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$,finished_replace
$\pi_{KM}$,16.043333333333333,275.7146069716776,511.0,,0.4603545472521175,485.9,optimal_utility,,,True
$\pi_{optimized}$,16.3183$\pm$0.3005,200.2195$\pm$7.7135,226.3333$\pm$12.2520,1.8413$\pm$0.0420,0.3738$\pm$0.0033,427.2333$\pm$7.3154,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose4,8.536983257901934,8.61670869307655,True
$\pi y_{gt}^1$,16.6471$\pm$0.1895,209.3415$\pm$4.1394,233.5000$\pm$14.5000,1.8690$\pm$0.0833,0.3848$\pm$0.0062,425.9000$\pm$6.3000,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.326052783216939,8.278604040990986,True
$\pi y_{gt}^2$,14.7458$\pm$1.5824,221.4879$\pm$5.4155,264.5000$\pm$55.5000,2.6583$\pm$0.7535,0.4467$\pm$0.0653,409.0000$\pm$7.2000,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.259661576460088,8.283913287038692,True
$\pi y_{gt}^3$,15.9690$\pm$1.2456,224.3416$\pm$10.1524,285.0000$\pm$29.2062,2.3380$\pm$0.4094,0.4189$\pm$0.0331,414.5667$\pm$3.3248,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.17687541833921,8.129493420859102,True
$\pi y_{gt}^4$,13.8133$\pm$0.4231,229.1306$\pm$22.7572,327.0000$\pm$26.0000,3.0588$\pm$0.5098,0.4891$\pm$0.0006,419.8500$\pm$0.3500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,6.912222927869721,7.082606108432009,True
$\pi y_{gt}^5$,13.8133$\pm$0.4231,229.1306$\pm$22.7572,327.0000$\pm$26.0000,3.0588$\pm$0.5098,0.4891$\pm$0.0006,419.8500$\pm$0.3500,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,6.912222927869721,7.082606108432009,True
$\pi y_{gt}^6$,12.4720$\pm$0.2818,188.1514$\pm$6.9376,268.0000$\pm$24.0000,3.7157$\pm$0.0098,0.5122$\pm$0.0069,402.2000$\pm$1.0000,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,6.745685587041125,6.723071441591537,True
$\pi y_{gt}^7$,11.8340$\pm$0.3668,174.1607$\pm$12.0957,263.0000$\pm$18.0000,3.8627$\pm$0.0392,0.5203$\pm$0.0046,401.4000$\pm$7.3000,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,6.827034247408186,6.720067874896861,True
$\pi y_{gt}^8$,12.4720$\pm$0.2818,188.1514$\pm$6.9376,268.0000$\pm$24.0000,3.7157$\pm$0.0098,0.5122$\pm$0.0069,402.2000$\pm$1.0000,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,6.745685587041125,6.723071441591537,True
