,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_priority,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,1.0,22.180512820512824,42.01222222222222,14.736666666666665,28.426666666666662,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,False,multi_list,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,1.0,2.3076923076923075,1.1111111111111112,3.0,1.96,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,False,multi_list,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,1.0,,,,120.42842955555555,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,False,multi_list,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,1.0,,,,15.0,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,False,multi_list,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,4.0,22.085641025641028,40.991,15.045000000000002,28.54455128205128,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,True,multi_list,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,4.0,2.3846153846153846,1.1,3.0,1.9615384615384608,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,True,multi_list,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,4.0,,,,112.9655462730112,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,True,multi_list,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,4.0,,,,8.0,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,True,multi_list,2.0,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,2.0,21.22020833333333,43.02571428571429,13.250000000000004,25.24833333333333,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,False,house_type,2.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,2.0,1.75,1.2857142857142858,3.0,1.8571428571428568,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,False,house_type,2.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,2.0,,,,131.92744702380952,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,False,house_type,2.0,house_type
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,2.0,,,,82.0,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,False,house_type,2.0,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,3.0,20.804479166666667,42.41625,13.4125,25.92327380952381,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,True,house_type,2.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,3.0,2.0,1.25,2.75,1.8928571428571428,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,True,house_type,2.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,3.0,,,,128.33975659367914,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,True,house_type,2.0,house_type
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,3.0,,,,60.0,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,True,house_type,2.0,house_type
