,ex_name,multi_ex,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_type,order_waitlist_ratio,order_k,policy_type,group_policy_type,group_policy_portion_settings,group_policy_portion_attribute,group_policy_priority,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,8.928222222222223,37.85090909090909,5.958499999999999,14.584150326797385,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,4.0,1.818181818181818,4.8,3.686274509803922,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,,,,267.5338986244607,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,,,,385.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,10.246444444444444,41.31,2.9925,15.52408496732026,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,4.033333333333333,2.090909090909091,5.5,3.901960784313725,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,,,,274.33110667905504,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,,,,428.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,3.798611111111112,10.405454545454546,2.9575,5.058692810457517,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,5.566666666666666,5.636363636363637,5.9,5.647058823529412,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
