,,indicator_values,indicator_values,indicator_values,indicator_values
,,3>=family_num>=2,family_num=1,family_num>3,all
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,8.928222222222223,37.85090909090909,5.958499999999999,14.584150326797385
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,4.0,1.818181818181818,4.8,3.686274509803922
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,,,,267.5338986244607
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,,,,385.0
mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_housesize,10.065111111111111,25.127272727272725,7.1735,12.746830065359475
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_housesize,4.4,3.5454545454545454,4.3,4.196078431372549
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_housesize,,,,204.92383357896531
Rop,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_housesize,,,,310.0
mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_rent_money,9.83,25.424545454545456,5.618,12.367647058823527
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_rent_money,4.166666666666667,4.2727272727272725,4.8,4.313725490196078
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,212.00625078175065
Rop,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,339.0
mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,7.820666666666666,19.922727272727272,1.45,9.181764705882353
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,4.466666666666667,4.636363636363637,6.1,4.823529411764706
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,,,,203.4897174740484
Rop,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,,,,322.0
