,ex_name,multi_ex,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_type,order_waitlist_ratio,order_k,policy_type,group_policy_type,group_policy_portion_settings,group_policy_portion_attribute,group_policy_priority,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,22.32055555555556,41.636,14.896249999999998,28.607371794871792,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,1.9166666666666667,1.1,3.75,1.8846153846153848,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,,,,123.61052161817884,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,,,,13.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,False,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,21.95666666666667,41.31,14.9625,29.323271604938267,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,2.7142857142857144,2.090909090909091,3.5,2.5185185185185186,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,,,,113.54368158055176,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,,,,10.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,22.791666666666668,38.153333333333336,14.7875,25.799333333333333,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,1.4,2.0,2.0,1.7,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,,,,92.34797900000002,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,False,,,,2.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True,21.5837$\pm$0.5546,40.2925$\pm$0.0000,14.7381$\pm$0.2669,26.3322$\pm$1.1975,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True,1.3333$\pm$0.1667,2.6250$\pm$0.6250,2.1250$\pm$0.3750,1.9143$\pm$0.0143,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,127.6831$\pm$8.2891,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,2.5000$\pm$0.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True,21.3492$\pm$0.4950,42.3762$\pm$1.3278,nan$\pm$nan,35.3270$\pm$0.6728,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True,2.5000$\pm$0.5000,1.2500$\pm$0.2500,nan$\pm$nan,1.7500$\pm$0.1250,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,123.2508$\pm$19.1022,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,0.0000$\pm$0.0000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,False,19.551666666666662,43.83,14.5,26.015000000000004,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,False,2.0,1.2,3.0,1.8333333333333333,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,random_avg
