type_indicator,ex_name,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_type,order_waitlist_ratio,order_k,policy_type,group_policy_type,group_policy_portion_settings,group_policy_portion_attribute,group_policy_priority,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,21.759,41.464,12.865,26.50823529411765,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1.2,2.0,1.5,1.4705882352941178,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,118.5327844675125,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,25.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,20.92789473684211,38.92,14.3005,21.69972222222222,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1.947368421052632,2.333333333333333,2.6,2.111111111111111,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,56.31591322016462,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,48.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,20.785694444444445,39.345,13.776428571428571,21.88014492753623,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,1.5833333333333333,1.75,1.8571428571428568,1.6956521739130437,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,90.29225354179796,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,30.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,20.352820512820514,39.02166666666667,12.625,22.21172839506173,10,6,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,2.4615384615384617,2.333333333333333,2.875,2.555555555555556,10,6,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,,,,103.65129330894682,10,6,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,,,,54.0,10,6,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,22.791666666666668,38.153333333333336,14.7875,25.799333333333333,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,1.4,2.0,2.0,1.7,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,,,,92.34797900000002,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,,,,2.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,multi_list,,,True,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,20.674333333333333,40.02166666666667,13.143,23.69076923076923,10,6,1,8,1,10,kwaitlist,1.8,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,1.2,1.6666666666666667,1.4,1.3461538461538465,10,6,1,8,1,10,kwaitlist,1.8,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,,,,100.4793974317883,10,6,1,8,1,10,kwaitlist,1.8,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,,,,33.0,10,6,1,8,1,10,kwaitlist,1.8,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,21.35375,41.97166666666666,14.958333333333334,26.33095238095238,10,6,1,8,1,10,kwaitlist,1.5,2.0,ver2,house_type,,,True,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2.1666666666666665,1.0,3.6666666666666665,2.0476190476190474,10,6,1,8,1,10,kwaitlist,1.5,2.0,ver2,house_type,,,True,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,122.59496893424036,10,6,1,8,1,10,kwaitlist,1.5,2.0,ver2,house_type,,,True,3,house_type
Rop,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,23.0,10,6,1,8,1,10,kwaitlist,1.5,2.0,ver2,house_type,,,True,3,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,23.233666666666668,38.153333333333336,15.425,25.872976190476184,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver2,house_type,,,True,2,portion_housesize
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,1.4,1.0,1.0,1.2857142857142858,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver2,house_type,,,True,2,portion_housesize
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,,,,66.69693142006803,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver2,house_type,,,True,2,portion_housesize
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,,,,6.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver2,house_type,,,True,2,portion_housesize
mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,20.87455555555556,41.39571428571429,13.5295,24.83466049382716,10,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,4.333333333333333,4.0,4.8,4.333333333333333,10,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,,,,118.93441235901538,10,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,,,,53.0,10,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,20.78047619047619,41.978750000000005,11.44,25.866025641025644,11,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,4.357142857142857,4.375,4.25,4.346153846153846,11,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,,,,136.49376839250493,11,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,,,,63.0,11,6,1,1,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,21.06428571428572,39.95285714285715,14.044999999999998,25.230000000000004,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2,portion_rentmoney
