,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_attribute,group_policy_portion_settings,group_policy_priority,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,36.0,9.556444444444445,34.37363636363636,4.545,13.926535947712418,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,multi_list,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,36.0,3.8,2.1818181818181817,5.1,3.7058823529411766,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,multi_list,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,36.0,,,,260.63636741210644,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,multi_list,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,False,36.0,,,,367.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,multi_list,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,61.0,10.259333333333332,41.34181818181818,2.9635,15.5328431372549,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,house_type
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,61.0,3.6,1.0909090909090908,5.8,3.4901960784313726,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,house_type
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,61.0,,,,274.7237220363962,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,house_type
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#housetype,False,61.0,,,,431.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True,7.0,3.0542$\pm$1.4300,17.7755$\pm$0.0000,3.7200$\pm$0.7100,6.3599$\pm$0.9804,9.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True,7.0,6.1000$\pm$0.2667,4.4091$\pm$0.1364,5.3000$\pm$0.3000,5.5784$\pm$0.2451,9.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_housesize
