type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,12.875166666666669,22.380909090909093,5.520999999999999,13.48343137254902,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,2.7,3.8181818181818175,3.8,3.156862745098039,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.7333333333333334,1.0,2.6,1.7450980392156863,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,204.25407422786105,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,343.0,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,15.265289855072464,30.595,6.633611111111112,17.065575396825395,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,2.0,1.6,2.111111111111111,1.9285714285714288,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.5217391304347827,1.0,1.8888888888888888,1.4761904761904765,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,231.8200523970931,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,262.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,13.801014492753623,33.995,7.962499999999999,17.357996031746033,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.7826086956521738,1.7,2.555555555555556,1.9285714285714288,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.565217391304348,1.0,2.333333333333333,1.5952380952380951,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,236.95058707207423,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,250.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,optimized_task_config_207,4,10.103777777777776,18.16909090909091,6.34755,11.106839869281046,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_wait_turn,optimized_task_config_207,4,5.0,4.909090909090909,5.2,5.019607843137255,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_idle_wait_turn,optimized_task_config_207,4,2.933333333333333,2.4545454545454546,3.8,3.0,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
var_mean_house_area,optimized_task_config_207,4,,,,175.85107964810538,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
Rop,optimized_task_config_207,4,,,,270.0,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_house_area,optimized_task_config_181,5,9.938444444444444,15.019090909090908,9.14755,10.879192810457514,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_wait_turn,optimized_task_config_181,5,3.2666666666666666,3.4545454545454546,3.3,3.313725490196078,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_idle_wait_turn,optimized_task_config_181,5,1.4,3.4545454545454546,1.0,1.7647058823529411,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
var_mean_house_area,optimized_task_config_181,5,,,,159.23840477818356,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
Rop,optimized_task_config_181,5,,,,224.0,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_house_area,optimized_task_config_53,6,23.15055555555556,43.61,11.1875,27.976527777777772,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_wait_turn,optimized_task_config_53,6,1.6666666666666667,1.0,2.0,1.5,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_idle_wait_turn,optimized_task_config_53,6,1.6666666666666667,1.0,2.0,1.5,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
var_mean_house_area,optimized_task_config_53,6,,,,141.97207000385805,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
Rop,optimized_task_config_53,6,,,,3.0,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_house_area,optimized_task_config_102,7,25.131666666666668,44.455,11.535,30.14166666666667,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
mean_wait_turn,optimized_task_config_102,7,1.0,1.0,1.0,1.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
mean_idle_wait_turn,optimized_task_config_102,7,1.0,1.0,1.0,1.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
var_mean_house_area,optimized_task_config_102,7,,,,173.85773111111112,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
Rop,optimized_task_config_102,7,,,,3.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
