,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,optimized_task_config_0,False,110.0,22.00895833333333,39.66833333333333,12.992,24.263456790123456,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_wait_turn,optimized_task_config_0,False,110.0,1.875,1.6666666666666667,2.6,1.962962962962963,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_idle_wait_turn,optimized_task_config_0,False,110.0,1.8125,1.3333333333333333,1.8,1.7037037037037035,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
var_mean_house_area,optimized_task_config_0,False,110.0,,,,93.504313359244,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
Rop,optimized_task_config_0,False,110.0,,,,46.0,1.0,10.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,3.0,random_avg,[1.0],
mean_house_area,optimized_task_config_1,False,44.0,22.065490196078432,39.33,13.187,24.179583333333333,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_wait_turn,optimized_task_config_1,False,44.0,4.647058823529412,3.8333333333333335,4.4,4.428571428571429,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_idle_wait_turn,optimized_task_config_1,False,44.0,4.529411764705882,3.8333333333333335,4.4,4.357142857142857,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
var_mean_house_area,optimized_task_config_1,False,44.0,,,,93.50390151289685,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
Rop,optimized_task_config_1,False,44.0,,,,56.0,3.0,8.0,7.0,3.0,2.0,1.0,10.0,1.0,kwaitlist,,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
mean_house_area,optimized_task_config_23,False,65.0,20.406944444444445,42.89,12.647166666666664,21.956,3.0,8.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_23,False,65.0,4.555555555555555,2.5,4.333333333333333,4.214285714285714,3.0,8.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_23,False,65.0,4.5,2.5,4.333333333333333,4.178571428571429,3.0,8.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_23,False,65.0,,,,93.15397811111112,3.0,8.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
Rop,optimized_task_config_23,False,65.0,,,,76.0,3.0,8.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_24,False,11.0,20.134537037037035,42.58,14.4175,23.121755952380955,3.0,7.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_24,False,11.0,4.666666666666667,4.0,3.2,4.285714285714286,3.0,7.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_24,False,11.0,4.5,4.0,3.2,4.178571428571429,3.0,7.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_24,False,11.0,,,,98.65388811206776,3.0,7.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
Rop,optimized_task_config_24,False,11.0,,,,51.0,3.0,7.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,,ver2,base,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_26,False,104.0,20.27380952380952,41.10333333333333,14.048214285714286,23.288549382716045,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_26,False,104.0,2.357142857142857,1.8333333333333333,1.1428571428571428,1.9259259259259256,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_26,False,104.0,2.357142857142857,1.8333333333333333,1.1428571428571428,1.9259259259259256,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_26,False,104.0,,,,105.86257117245847,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,2.0,house_type,,
Rop,optimized_task_config_26,False,104.0,,,,27.0,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_27,False,100.0,20.37083333333333,39.355,13.7975,23.03029761904762,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
