type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,21.45861111111111,41.031666666666666,13.802499999999998,24.55910714285714,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.5,1.6666666666666667,2.5,1.6785714285714286,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.1666666666666667,1.0,2.0,1.25,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,100.02549870677436,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,63.0,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,21.943854166666668,43.707142857142856,11.9405,25.598363095238096,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.875,1.7142857142857142,2.2,1.8928571428571428,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.375,1.0,1.8,1.3571428571428572,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,129.30468087709045,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,83.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,21.161555555555555,42.49375,14.3325,26.036994047619054,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.6,1.25,3.2,1.7857142857142858,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.3333333333333333,1.0,2.8,1.5,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,129.45086092952803,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,59.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,optimized_task_config_207,4,20.207555555555555,39.972,12.6951,22.65795333333333,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_wait_turn,optimized_task_config_207,4,1.9333333333333331,1.0,2.8,1.92,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_idle_wait_turn,optimized_task_config_207,4,1.4666666666666666,1.0,1.8,1.44,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
var_mean_house_area,optimized_task_config_207,4,,,,97.0116126656,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
Rop,optimized_task_config_207,4,,,,50.0,3,10,6,1,9,1,14,2,kwaitlist,1.2,ver1,base,portionfamily_members_num,3,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_house_area,optimized_task_config_181,5,19.87688888888889,41.3025,13.067928571428572,21.339955128205126,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_wait_turn,optimized_task_config_181,5,1.0666666666666669,1.0,1.0,1.0384615384615383,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_idle_wait_turn,optimized_task_config_181,5,1.0,1.0,1.0,1.0,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
var_mean_house_area,optimized_task_config_181,5,,,,89.12005705888394,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
Rop,optimized_task_config_181,5,,,,47.0,3,10,3,1,8,1,10,1,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",False
mean_house_area,optimized_task_config_53,6,23.15055555555556,43.61,11.1875,27.976527777777772,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_wait_turn,optimized_task_config_53,6,1.6666666666666667,1.0,2.0,1.5,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_idle_wait_turn,optimized_task_config_53,6,1.6666666666666667,1.0,2.0,1.5,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
var_mean_house_area,optimized_task_config_53,6,,,,141.97207000385805,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
Rop,optimized_task_config_53,6,,,,3.0,3,2,3,1,8,3,11,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,
mean_house_area,optimized_task_config_102,7,25.131666666666668,44.455,11.535,30.14166666666667,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
mean_wait_turn,optimized_task_config_102,7,1.0,1.0,1.0,1.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
mean_idle_wait_turn,optimized_task_config_102,7,1.0,1.0,1.0,1.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
var_mean_house_area,optimized_task_config_102,7,,,,173.85773111111112,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
Rop,optimized_task_config_102,7,,,,3.0,3,1,3,1,9,3,13,2,kwaitlist,1.2,ver2,priority,house_type,2,house_type,,False
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,8,21.02,39.7425,12.899285714285714,21.688333333333336,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,8,1.625,2.5,2.2857142857142856,1.9259259259259256,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,8,1.5,1.75,2.0,1.6666666666666667,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,8,,,,80.48003143004115,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,8,,,,64.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,9,20.7140625,39.7425,13.431785714285713,21.645092592592597,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,9,1.375,2.25,2.4285714285714284,1.7777777777777777,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,9,1.375,1.75,2.0,1.5925925925925926,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,9,,,,79.65537100480111,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,9,,,,61.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,optimized_task_config_212,10,20.39411111111111,41.606,13.1108125,22.10100595238095,3,8,3,1,8,1,10,3,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,False
mean_wait_turn,optimized_task_config_212,10,1.2666666666666666,1.2,1.375,1.2857142857142858,3,8,3,1,8,1,10,3,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,False
mean_idle_wait_turn,optimized_task_config_212,10,1.0,1.0,1.375,1.1071428571428572,3,8,3,1,8,1,10,3,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,False
var_mean_house_area,optimized_task_config_212,10,,,,109.67308359222643,3,8,3,1,8,1,10,3,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,False
Rop,optimized_task_config_212,10,,,,82.0,3,8,3,1,8,1,10,3,kwaitlist,1.2,ver2,priority,house_type,3,house_type,,False
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,11,20.655,43.04,13.137,24.908749999999998,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,11,1.625,1.4285714285714286,2.6,1.75,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,11,1.5,1.2857142857142858,2.4,1.6071428571428572,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,11,,,,127.43901421130953,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,11,,,,64.0,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
