,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,optimized_task_config_10,False,81.0,3.2266666666666666,10.972727272727273,6.965999999999999,5.630588235294117,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,priority,house_type,2.0,portion_rentmoney,,False
mean_wait_turn,optimized_task_config_10,False,81.0,5.3,4.363636363636363,3.8,4.803921568627451,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,priority,house_type,2.0,portion_rentmoney,,False
mean_idle_wait_turn,optimized_task_config_10,False,81.0,2.1666666666666665,3.5454545454545454,1.4,2.313725490196078,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,priority,house_type,2.0,portion_rentmoney,,False
var_mean_house_area,optimized_task_config_10,False,81.0,,,,121.34560924003584,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,priority,house_type,2.0,portion_rentmoney,,False
Rop,optimized_task_config_10,False,81.0,,,,158.0,3.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,priority,house_type,2.0,portion_rentmoney,,False
mean_house_area,optimized_task_config_14,False,71.0,9.315277777777776,18.318181818181817,11.5405,11.693398692810458,1.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
mean_wait_turn,optimized_task_config_14,False,71.0,3.533333333333333,3.090909090909091,2.9,3.313725490196078,1.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
mean_idle_wait_turn,optimized_task_config_14,False,71.0,1.7666666666666666,1.6363636363636365,1.9,1.7647058823529411,1.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
var_mean_house_area,optimized_task_config_14,False,71.0,,,,174.5715002952924,1.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
Rop,optimized_task_config_14,False,71.0,,,,239.0,1.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,priority,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
mean_house_area,optimized_task_config_15,False,95.0,10.227166666666667,19.213636363636365,7.876749999999999,11.70455882352941,1.0,10.0,6.0,1.0,2.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,base,portionfamily_members_num,2.0,portion_rentmoney,[1.0],False
