type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,21.45861111111111,41.031666666666666,13.802499999999998,24.55910714285714,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.5,1.6666666666666667,2.5,1.6785714285714286,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,1.1666666666666667,1.0,2.0,1.25,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,100.02549870677436,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1,,,,63.0,3,9,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,21.943854166666668,43.707142857142856,11.9405,25.598363095238096,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.875,1.7142857142857142,2.2,1.8928571428571428,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,1.375,1.0,1.8,1.3571428571428572,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,129.30468087709045,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2,,,,83.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,21.161555555555555,42.49375,14.3325,26.036994047619054,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.6,1.25,3.2,1.7857142857142858,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,1.3333333333333333,1.0,2.8,1.5,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,129.45086092952803,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,3,,,,59.0,3,6,6,1,8,1,10,3,kwaitlist,2.1,ver2,base,house_type,3,house_type,,
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,21.02,39.7425,12.899285714285714,21.688333333333336,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,1.625,2.5,2.2857142857142856,1.9259259259259256,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,1.5,1.75,2.0,1.6666666666666667,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,,,,80.48003143004115,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,4,,,,64.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,20.7140625,39.7425,13.431785714285713,21.645092592592597,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,1.375,2.25,2.4285714285714284,1.7777777777777777,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,1.375,1.75,2.0,1.5925925925925926,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,,,,79.65537100480111,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,5,,,,61.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionfamily_members_num,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,20.655,43.04,13.137,24.908749999999998,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.625,1.4285714285714286,2.6,1.75,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.5,1.2857142857142858,2.4,1.6071428571428572,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,127.43901421130953,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,64.0,3,10,6,1,8,1,10,2,kwaitlist,2.1,ver2,base,house_type,5,house_type,,
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,20.00541666666667,39.462,13.7375,22.54169871794872,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,1.875,1.2,2.2,1.807692307692308,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,1.75,1.0,2.0,1.6538461538461535,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,,,,86.63409692739151,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,,,,31.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,19.92703703703704,39.275,12.774375,21.803237179487176,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,1.8888888888888888,1.25,2.0,1.807692307692308,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,1.6111111111111112,1.0,2.0,1.5769230769230769,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,,,,73.65493741062623,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,,,,41.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,20.00821428571428,42.81333333333333,13.82214285714286,23.47222222222222,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,2.142857142857143,2.5,3.2857142857142856,2.5185185185185186,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,1.9285714285714288,2.1666666666666665,3.0,2.259259259259259,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,,,,123.21039588477366,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,,,,67.0,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,20.961145833333333,40.70857142857143,13.578333333333331,25.425897435897436,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,2.4375,2.2857142857142856,3.333333333333333,2.5,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,2.3125,2.0,3.0,2.3076923076923075,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,,,,108.87237910913872,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
