type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_settings,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,11.210333333333333,12.136363636363637,9.17775,11.011519607843136,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,3.6,5.545454545454546,3.4,3.980392156862745,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,1.9666666666666663,3.1818181818181817,2.0,2.235294117647059,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,,,,159.80438724689225,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,,,,237.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,9.479,21.23454545454545,8.70975,11.863676470588231,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,4.0,3.8181818181818175,3.5,3.862745098039216,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,2.533333333333333,2.4545454545454546,2.1,2.431372549019608,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,,,,181.3355946671153,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,,,,241.0,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
