type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_settings,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,21.019375,44.5,13.11107142857143,21.59951923076923,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,1.5,2.6666666666666665,2.142857142857143,1.807692307692308,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,1.375,2.0,2.0,1.6153846153846154,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,,,,84.76675043659597,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,1,,,,54.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,20.312142857142856,38.93,14.51625,23.271057692307693,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,1.8571428571428568,1.3333333333333333,2.0,1.7692307692307692,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,1.7142857142857142,1.3333333333333333,2.0,1.6923076923076923,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,,,,90.23491685671434,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,2,,,,19.0,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_rent_budget,2,portion_rentmoney
