,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,2.0,13.0677$\pm$0.7773,25.9705$\pm$1.8532,11.4494$\pm$0.1652,16.2158$\pm$0.9245,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,2.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,2.0,1.8600$\pm$0.0200,1.9091$\pm$0.0909,1.7500$\pm$0.4167,1.8571$\pm$0.0238,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,2.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,2.0,1.5000$\pm$0.1000,1.7273$\pm$0.0909,1.4167$\pm$0.0833,1.5476$\pm$0.0714,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,2.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,2.0,,,,221.4332$\pm$0.8115,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,2.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
Rop,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,2.0,,,,168.5000$\pm$1.5000,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,2.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,6.0,13.7037$\pm$0.2531,27.9886$\pm$0.1641,9.7377$\pm$2.8040,16.8784$\pm$0.2070,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,3.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,6.0,1.9000$\pm$0.1000,1.7727$\pm$0.1364,2.0000$\pm$0.1667,1.8810$\pm$0.0000,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,3.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,6.0,1.4200$\pm$0.0200,1.5000$\pm$0.0455,1.7500$\pm$0.0833,1.4881$\pm$0.0119,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,3.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,6.0,,,,229.6520$\pm$7.1177,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,3.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,6.0,,,,179.0000$\pm$7.0000,3.0,8.0000$\pm$2.0000,20.0,1.0,10.0,1.0,30.0,3.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,9.0,14.0728$\pm$0.0910,26.5106$\pm$1.3571,11.3278$\pm$0.2063,16.9382$\pm$0.4068,3.0,6.3333$\pm$0.3333,20.0,1.0,10.0,1.0,30.0,4.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,9.0,2.0000$\pm$0.0462,1.8182$\pm$0.0525,1.5000$\pm$0.0962,1.8810$\pm$0.0364,3.0,6.3333$\pm$0.3333,20.0,1.0,10.0,1.0,30.0,4.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,9.0,1.5600$\pm$0.0231,1.5152$\pm$0.0606,1.5000$\pm$0.0962,1.5397$\pm$0.0079,3.0,6.3333$\pm$0.3333,20.0,1.0,10.0,1.0,30.0,4.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,9.0,,,,217.8694$\pm$4.1740,3.0,6.3333$\pm$0.3333,20.0,1.0,10.0,1.0,30.0,4.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,9.0,,,,160.0000$\pm$5.0332,3.0,6.3333$\pm$0.3333,20.0,1.0,10.0,1.0,30.0,4.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,4.0,14.6653$\pm$0.8315,26.0786$\pm$1.7732,12.0188$\pm$1.6208,17.2764$\pm$0.7278,3.0,6.0000$\pm$0.0000,20.0,1.0,10.0,1.0,30.0,5.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,4.0,1.9800$\pm$0.0600,1.8636$\pm$0.0455,1.4167$\pm$0.2500,1.8690$\pm$0.0119,3.0,6.0000$\pm$0.0000,20.0,1.0,10.0,1.0,30.0,5.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k5)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True,4.0,1.5400$\pm$0.0600,1.6364$\pm$0.1818,1.4167$\pm$0.2500,1.5476$\pm$0.0476,3.0,6.0000$\pm$0.0000,20.0,1.0,10.0,1.0,30.0,5.0,kwaitlist,1.8,ver2,base,house_type,5.0,house_type
