Optimizer Round,Rounds,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name
,,,,,,,,optimal_utility
1.0,,,,,,,,optimized_task_config_65
2.0,,,,,,,,optimized_task_config_66
3.0,,,,,,,,optimized_task_config_67
4.0,,,,,,,,optimized_task_config_68
5.0,,,,,,,,optimized_task_config_69
6.0,,,,,,,,optimized_task_config_70
7.0,,,,,,,,optimized_task_config_74
8.0,,,,,,,,optimized_task_config_75
9.0,,,,,,,,optimized_task_config_76
10.0,,,,,,,,optimized_task_config_77
11.0,,,,,,,,optimized_task_config_78
12.0,,,,,,,,optimized_task_config_79
13.0,,,,,,,,optimized_task_config_80
14.0,,,,,,,,optimized_task_config_81
15.0,,,,,,,,optimized_task_config_82
16.0,,,,,,,,optimized_task_config_83
final,,,,,,,,optimized_task_config_77
best gt y:1,,,,,,,,optimized_task_config_67
best gt y:2,,,,,,,,optimized_task_config_53
best gt y:3,,,,,,,,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3
