$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$
$\pi_{KM}$,,,,,,,optimal_utility,,
$\pi_{optimized}$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5.892225189590965,5.847243892954781
$\pi y_{gt}^1$,,,,,,,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.864427248960188,5.642793000143479
$\pi y_{gt}^2$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.486705297776821,5.470299123530975
$\pi y_{gt}^3$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{gt}^4$,,,,,,,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,5.141882196661356,5.11743003741503
$\pi y_{gt}^5$,,,,,,,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,4.488704196107156,4.642155705123017
$\pi y_{gt}^6$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{gt}^7$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.053620727433959,4.888294280115011
$\pi y_{gt}^8$,,,,,,,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,4.199394716221979,4.59159142862725
$\pi y_{gt}^9$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{gt}^10$,,,,,,,ver1_nofilter_singlelist_8t_6h_p#singlelist,4.477320031155286,4.755381653656984
$\pi y_{predict}^1$,,,,,,,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,5.864427248960188,5.642793000143479
$\pi y_{predict}^2$,,,,,,,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,5.486705297776821,5.470299123530975
$\pi y_{predict}^3$,,,,,,,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,5.141882196661356,5.11743003741503
$\pi y_{predict}^4$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{predict}^5$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{predict}^6$,,,,,,,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,4.902224975232843,5.078138545420019
$\pi y_{predict}^7$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.053620727433959,4.888294280115011
$\pi y_{predict}^8$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.053620727433959,4.888294280115011
$\pi y_{predict}^9$,,,,,,,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,5.053620727433959,4.888294280115011
$\pi y_{predict}^10$,,,,,,,ver1_nofilter_singlelist_8t_6h_p#singlelist,4.477320031155286,4.755381653656984
