,choose_u,group_id,priority,choose_house_id,family_members_num,house_size,avg_area
69,7.0,large_house,False,house_8,3.0,62.5,20.833333333333332
1,7.0,small_house,False,house_18,1.0,38.7,38.7
2,7.0,large_house,False,house_6,3.0,62.0,20.666666666666668
66,7.0,large_house,False,house_4,4.0,61.7,15.425
0,7.0,middle_house,False,house_53,2.0,46.2,23.1
64,8.0,large_house,False,house_2,3.0,61.3,20.433333333333334
68,6.0,small_house,False,house_22,1.0,35.5,35.5
65,7.0,small_house,False,house_23,1.0,37.8,37.8
58,7.0,small_house,True,house_31,1.0,44.7,44.7
67,7.0,middle_house,True,house_45,2.0,45.0,22.5
61,8.0,large_house,False,house_40,3.0,57.8,19.266666666666666
56,7.0,small_house,False,house_20,1.0,28.9,28.9
62,7.0,large_house,False,house_41,4.0,58.1,14.525
63,7.0,middle_house,False,house_50,2.0,45.8,22.9
24,7.0,large_house,False,house_43,3.0,58.2,19.400000000000002
57,7.0,large_house,False,house_55,4.0,59.2,14.8
60,7.0,middle_house,False,house_63,2.0,48.5,24.25
39,7.0,small_house,True,house_76,1.0,42.82,42.82
55,7.0,large_house,False,house_60,3.0,58.95,19.650000000000002
59,7.0,middle_house,False,house_89,2.0,49.04,24.52
23,7.0,middle_house,False,house_88,2.0,49.0,24.5
26,8.0,small_house,True,house_94,1.0,44.4,44.4
49,7.0,small_house,False,house_73,1.0,42.82,42.82
54,7.0,middle_house,False,house_87,2.0,48.9,24.45
32,7.0,small_house,False,house_97,1.0,44.5,44.5
52,7.0,middle_house,False,house_83,2.0,48.35,24.175
46,7.0,small_house,False,house_72,1.0,42.82,42.82
13,7.0,small_house,False,house_96,1.0,44.5,44.5
33,0.0,middle_house,False,None,2.0,0.0,0.0
53,0.0,large_house,False,None,4.0,0.0,0.0
51,0.0,large_house,True,None,3.0,0.0,0.0
50,0.0,middle_house,False,None,2.0,0.0,0.0
28,0.0,middle_house,False,None,2.0,0.0,0.0
27,0.0,large_house,True,None,4.0,0.0,0.0
36,0.0,middle_house,True,None,2.0,0.0,0.0
38,0.0,large_house,True,None,4.0,0.0,0.0
37,0.0,large_house,False,None,4.0,0.0,0.0
47,0.0,large_house,False,None,4.0,0.0,0.0
30,0.0,middle_house,False,None,2.0,0.0,0.0
35,0.0,large_house,False,None,3.0,0.0,0.0
48,0.0,middle_house,False,None,2.0,0.0,0.0
45,0.0,middle_house,False,None,2.0,0.0,0.0
43,0.0,large_house,False,None,5.0,0.0,0.0
40,0.0,middle_house,False,None,2.0,0.0,0.0
44,0.0,large_house,False,None,3.0,0.0,0.0
41,0.0,large_house,False,None,3.0,0.0,0.0
25,0.0,middle_house,False,None,2.0,0.0,0.0
42,0.0,middle_house,True,None,2.0,0.0,0.0
12,0.0,large_house,True,None,4.0,0.0,0.0
