,choose_u,group_id,priority,choose_house_id,family_members_num,house_size,avg_area
67,7.0,default,True,house_18,2.0,38.7,19.35
51,7.0,default,True,house_4,3.0,61.7,20.566666666666666
27,7.0,default,True,house_8,4.0,62.5,15.625
58,7.0,default,True,house_31,1.0,44.7,44.7
39,7.0,default,True,house_22,1.0,35.5,35.5
26,6.0,default,True,house_20,1.0,28.9,28.9
36,6.0,default,True,house_23,2.0,37.8,18.9
38,7.0,default,True,house_53,4.0,46.2,11.55
12,7.0,default,True,house_6,4.0,62.0,15.5
69,7.0,default,False,house_2,3.0,61.3,20.433333333333334
42,7.0,default,True,house_50,2.0,45.8,22.9
0,7.0,default,False,house_45,2.0,45.0,22.5
2,8.0,default,False,house_41,3.0,58.1,19.366666666666667
66,7.0,default,False,house_40,4.0,57.8,14.45
1,7.0,default,False,house_73,1.0,42.82,42.82
68,7.0,default,False,house_76,1.0,42.82,42.82
64,7.0,default,False,house_63,3.0,48.5,16.166666666666668
61,7.0,default,False,house_60,3.0,58.95,19.650000000000002
62,8.0,default,False,house_43,4.0,58.2,14.55
65,7.0,default,False,house_72,1.0,42.82,42.82
63,7.0,default,False,house_89,2.0,49.04,24.52
60,7.0,default,False,house_97,2.0,44.5,22.25
59,7.0,default,False,house_94,2.0,44.4,22.2
23,7.0,default,False,house_88,2.0,49.0,24.5
24,7.0,default,False,house_55,3.0,59.2,19.733333333333334
57,7.0,default,False,house_87,4.0,48.9,12.225
56,7.0,default,False,house_83,1.0,48.35,48.35
