,choose_u,group_id,priority,choose_house_id,family_members_num,house_size,avg_area
1,7.0,small_house,False,house_18,1.0,38.7,38.7
69,7.0,large_house,False,house_8,3.0,62.5,20.833333333333332
2,7.0,large_house,False,house_2,3.0,61.3,20.433333333333334
66,7.0,large_house,False,house_6,4.0,62.0,15.5
64,7.0,large_house,False,house_4,3.0,61.7,20.566666666666666
68,6.0,small_house,False,house_22,1.0,35.5,35.5
0,7.0,middle_house,False,house_53,2.0,46.2,23.1
65,7.0,small_house,False,house_23,1.0,37.8,37.8
58,7.0,small_house,True,house_31,1.0,44.7,44.7
56,7.0,small_house,False,house_20,1.0,28.9,28.9
61,7.0,large_house,False,house_41,3.0,58.1,19.366666666666667
67,7.0,middle_house,True,house_50,2.0,45.8,22.9
62,8.0,large_house,False,house_43,4.0,58.2,14.55
63,7.0,middle_house,False,house_45,2.0,45.0,22.5
24,7.0,large_house,False,house_40,3.0,57.8,19.266666666666666
60,7.0,middle_house,False,house_63,2.0,48.5,24.25
39,7.0,small_house,True,house_76,1.0,42.82,42.82
57,7.0,large_house,False,house_60,4.0,58.95,14.7375
55,7.0,large_house,False,house_55,3.0,59.2,19.733333333333334
49,7.0,small_house,False,house_73,1.0,42.82,42.82
59,7.0,middle_house,False,house_89,2.0,49.04,24.52
26,7.0,small_house,True,house_72,1.0,42.82,42.82
23,7.0,middle_house,False,house_88,2.0,49.0,24.5
32,7.0,small_house,False,house_97,1.0,44.5,44.5
46,8.0,small_house,False,house_94,1.0,44.4,44.4
54,7.0,middle_house,False,house_87,2.0,48.9,24.45
13,0.0,small_house,False,house_96,1.0,44.5,44.5
52,7.0,middle_house,False,house_83,2.0,48.35,24.175
