,choose_u,group_id,priority,choose_house_id,family_members_num,house_size,avg_area
69,7.0,default,False,house_6,3.0,62.0,20.666666666666668
0,7.0,default,False,house_4,2.0,61.7,30.85
1,7.0,default,False,house_18,1.0,38.7,38.7
2,7.0,default,False,house_2,3.0,61.3,20.433333333333334
66,7.0,default,False,house_8,4.0,62.5,15.625
68,6.0,default,False,house_22,1.0,35.5,35.5
65,7.0,default,False,house_23,1.0,37.8,37.8
67,6.0,default,True,house_20,2.0,28.9,14.45
64,7.0,default,False,house_53,3.0,46.2,15.4
63,7.0,default,False,house_31,2.0,44.7,22.35
61,7.0,default,False,house_41,3.0,58.1,19.366666666666667
62,7.0,default,False,house_50,4.0,45.8,11.45
60,7.0,default,False,house_45,2.0,45.0,22.5
58,7.0,default,True,house_76,1.0,42.82,42.82
59,7.0,default,False,house_63,2.0,48.5,24.25
24,7.0,default,False,house_60,3.0,58.95,19.650000000000002
57,7.0,default,False,house_73,4.0,42.82,10.705
55,7.0,default,False,house_55,3.0,59.2,19.733333333333334
23,7.0,default,False,house_72,2.0,42.82,21.41
56,7.0,default,False,house_97,1.0,44.5,44.5
54,7.0,default,False,house_94,2.0,44.4,22.2
52,7.0,default,False,house_89,2.0,49.04,24.52
33,7.0,default,False,house_88,2.0,49.0,24.5
53,7.0,default,False,house_40,4.0,57.8,14.45
51,7.0,default,True,house_43,3.0,58.2,19.400000000000002
39,7.0,default,True,house_83,1.0,48.35,48.35
50,7.0,default,False,house_96,2.0,44.5,22.25
28,7.0,default,False,house_87,2.0,48.9,24.45
