,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
68,15.2,family_num=1,False,house_74,1.0,1.0,42.82,42.82
67,14.5,3>=family_num>=2,True,house_51,1.0,2.0,46.1,23.05
2,15.4,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
56,15.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
59,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
60,16.5,3>=family_num>=2,False,house_64,3.0,2.0,48.75,24.375
66,8.0,family_num>3,False,house_54,4.0,4.0,58.54,14.635
39,16.0,family_num=1,True,house_98,1.0,1.0,44.5,44.5
23,16.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
54,17.0,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
49,16.0,family_num=1,False,house_99,1.0,1.0,44.51,44.51
52,14.5,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
26,13.8,family_num=1,True,house_29,1.0,1.0,44.5,44.5
62,14.4,family_num>3,False,house_37,4.0,4.0,58.0,14.5
24,11.7,3>=family_num>=2,False,house_57,3.0,3.0,60.1,20.033333333333335
57,12.2,family_num>3,False,house_78,4.0,4.0,60.3,15.075
55,15.6,3>=family_num>=2,False,house_77,4.0,3.0,60.0,20.0
32,16.0,family_num=1,False,house_94,1.0,1.0,44.4,44.4
46,16.7,family_num=1,False,house_71,1.0,1.0,42.82,42.82
53,15.4,family_num>3,False,house_3,3.0,4.0,61.5,15.375
13,15.8,family_num=1,False,house_13,1.0,1.0,38.25,38.25
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
36,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
