,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
61,12.0,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
54,18.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
59,14.1,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
58,14.5,family_num=1,True,house_98,3.0,1.0,44.5,44.5
28,15.9,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
27,14.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
26,15.0,family_num=1,True,house_19,2.0,1.0,27.76,27.76
47,12.3,family_num>3,False,house_37,2.0,4.0,58.0,14.5
