,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
2,15.4,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
64,14.5,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
65,15.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
56,16.0,family_num=1,False,house_99,2.0,1.0,44.51,44.51
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
39,17.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
52,16.5,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
53,15.4,family_num>3,False,house_3,2.0,4.0,61.5,15.375
