,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
2,13.7,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
68,13.4,family_num=1,False,house_74,1.0,1.0,42.82,42.82
63,17.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
58,15.5,family_num=1,True,house_98,2.0,1.0,44.5,44.5
61,15.7,3>=family_num>=2,False,house_44,3.0,3.0,46.14,15.38
64,13.9,3>=family_num>=2,False,house_52,3.0,3.0,44.3,14.766666666666666
62,14.4,family_num>3,False,house_37,3.0,4.0,58.0,14.5
24,12.2,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
49,16.5,family_num=1,False,house_99,1.0,1.0,44.51,44.51
60,15.5,3>=family_num>=2,False,house_3,4.0,2.0,61.5,30.75
54,15.2,3>=family_num>=2,False,house_10,3.0,2.0,38.05,19.025
36,13.4,3>=family_num>=2,True,house_19,1.0,2.0,27.76,13.88
32,14.4,family_num=1,False,house_71,1.0,1.0,42.82,42.82
46,17.0,family_num=1,False,house_29,1.0,1.0,44.5,44.5
40,16.5,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
25,16.2,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
30,12.7,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
