,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
66,13.4,family_num>3,False,house_51,1.0,4.0,46.1,11.525
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
68,15.8,family_num=1,False,house_98,3.0,1.0,44.5,44.5
61,15.6,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
24,13.1,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
56,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
63,18.0,3>=family_num>=2,False,house_65,3.0,2.0,49.07,24.535
52,16.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
60,16.5,3>=family_num>=2,False,house_83,3.0,2.0,48.35,24.175
49,17.0,family_num=1,False,house_10,1.0,1.0,38.05,38.05
55,14.9,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
54,18.0,3>=family_num>=2,False,house_39,2.0,2.0,57.5,28.75
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
50,15.1,3>=family_num>=2,False,house_37,1.0,2.0,58.0,29.0
39,18.0,family_num=1,True,house_71,2.0,1.0,42.82,42.82
59,16.0,3>=family_num>=2,False,house_99,3.0,2.0,44.51,22.255
36,17.7,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
47,11.8,family_num>3,False,house_46,1.0,4.0,44.75,11.1875
46,16.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
43,14.2,family_num>3,False,house_77,1.0,5.0,60.0,12.0
30,15.0,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
42,15.5,3>=family_num>=2,True,house_52,1.0,2.0,44.3,22.15
44,16.0,3>=family_num>=2,False,house_78,3.0,3.0,60.3,20.099999999999998
9,17.0,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
33,15.0,3>=family_num>=2,False,house_94,7.0,2.0,44.4,22.2
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,4.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,0.0,0.0
38,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
