,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
69,14.2,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
63,17.0,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
60,16.5,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
64,12.4,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
54,18.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
62,14.4,family_num>3,False,house_39,2.0,4.0,57.5,14.375
24,11.7,3>=family_num>=2,False,house_57,1.0,3.0,60.1,20.033333333333335
58,13.0,family_num=1,True,house_19,3.0,1.0,27.76,27.76
59,16.0,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
33,15.0,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
27,14.2,family_num>3,True,house_85,1.0,4.0,48.7,12.175
39,18.0,family_num=1,True,house_71,2.0,1.0,42.82,42.82
36,16.0,3>=family_num>=2,True,house_94,1.0,2.0,44.4,22.2
53,15.8,family_num>3,False,house_44,2.0,4.0,46.14,11.535
50,16.0,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
38,15.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
30,12.2,3>=family_num>=2,False,house_17,1.0,2.0,38.6,19.3
56,15.0,family_num=1,False,house_13,4.0,1.0,38.25,38.25
35,14.0,3>=family_num>=2,False,house_54,1.0,3.0,58.54,19.513333333333332
43,16.3,family_num>3,False,house_37,1.0,5.0,58.0,11.6
47,14.4,family_num>3,False,house_4,3.0,4.0,61.7,15.425
25,16.0,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
12,15.2,family_num>3,True,house_3,2.0,4.0,61.5,15.375
42,15.5,3>=family_num>=2,True,house_52,2.0,2.0,44.3,22.15
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
68,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
66,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
