,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
2,15.4,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
0,15.0,3>=family_num>=2,False,house_51,2.0,2.0,46.1,23.05
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
66,10.2,family_num>3,False,house_65,2.0,4.0,49.07,12.2675
63,17.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
60,15.4,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
64,15.8,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
23,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
67,16.5,3>=family_num>=2,True,house_98,2.0,2.0,44.5,22.25
54,18.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
59,16.0,3>=family_num>=2,False,house_99,2.0,2.0,44.51,22.255
33,13.0,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
57,10.4,family_num>3,False,house_37,2.0,4.0,58.0,14.5
56,16.0,family_num=1,False,house_94,3.0,1.0,44.4,44.4
52,16.0,3>=family_num>=2,False,house_29,2.0,2.0,44.5,22.25
39,17.0,family_num=1,True,house_19,2.0,1.0,27.76,27.76
51,15.4,3>=family_num>=2,True,house_71,2.0,3.0,42.82,14.273333333333333
36,13.1,3>=family_num>=2,True,house_46,1.0,2.0,44.75,22.375
50,15.0,3>=family_num>=2,False,house_44,3.0,2.0,46.14,23.07
48,15.4,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
30,12.2,3>=family_num>=2,False,house_17,2.0,2.0,38.6,19.3
38,11.0,family_num>3,True,house_57,3.0,4.0,60.1,15.025
47,14.4,family_num>3,False,house_78,3.0,4.0,60.3,15.075
35,15.0,3>=family_num>=2,False,house_3,4.0,3.0,61.5,20.5
28,14.9,3>=family_num>=2,False,house_83,6.0,2.0,48.35,24.175
