,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
68,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
58,13.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
2,13.4,3>=family_num>=2,False,house_85,3.0,3.0,48.7,16.233333333333334
63,16.0,3>=family_num>=2,False,house_83,2.0,2.0,48.35,24.175
60,16.5,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
66,10.4,family_num>3,False,house_44,4.0,4.0,46.14,11.535
59,14.1,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
49,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
39,18.0,family_num=1,True,house_29,2.0,1.0,44.5,44.5
26,13.2,family_num=1,True,house_71,1.0,1.0,42.82,42.82
28,13.1,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
32,16.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
62,9.4,family_num>3,False,house_94,5.0,4.0,44.4,11.1
52,15.5,3>=family_num>=2,False,house_99,3.0,2.0,44.51,22.255
33,13.0,3>=family_num>=2,False,house_65,3.0,2.0,49.07,24.535
57,13.6,family_num>3,False,house_77,4.0,4.0,60.0,15.0
27,14.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
50,17.0,3>=family_num>=2,False,house_74,6.0,2.0,42.82,21.41
