,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
61,15.6,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
60,17.0,3>=family_num>=2,False,house_25,2.0,2.0,42.2,21.1
63,15.0,3>=family_num>=2,False,house_44,3.0,2.0,46.14,23.07
62,16.9,family_num>3,False,house_57,3.0,4.0,60.1,15.025
55,15.7,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
49,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
53,14.8,family_num>3,False,house_37,1.0,4.0,58.0,14.5
23,17.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
52,16.5,3>=family_num>=2,False,house_94,2.0,2.0,44.4,22.2
33,15.0,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
26,15.0,family_num=1,True,house_19,2.0,1.0,27.76,27.76
46,16.7,family_num=1,False,house_74,1.0,1.0,42.82,42.82
43,14.5,family_num>3,False,house_64,1.0,5.0,48.75,9.75
37,15.2,family_num>3,False,house_78,2.0,4.0,60.3,15.075
42,18.0,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
27,14.6,family_num>3,True,house_54,3.0,4.0,58.54,14.635
41,15.4,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
35,18.0,3>=family_num>=2,False,house_4,3.0,3.0,61.7,20.566666666666666
