,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,17.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
2,11.8,3>=family_num>=2,False,house_51,2.0,3.0,46.1,15.366666666666667
67,15.5,3>=family_num>=2,True,house_83,1.0,2.0,48.35,24.175
0,18.0,3>=family_num>=2,False,house_25,3.0,2.0,42.2,21.1
65,16.0,family_num=1,False,house_10,3.0,1.0,38.05,38.05
59,10.1,3>=family_num>=2,False,house_57,1.0,2.0,60.1,30.05
62,16.4,family_num>3,False,house_54,4.0,4.0,58.54,14.635
26,17.0,family_num=1,True,house_99,1.0,1.0,44.51,44.51
28,13.2,3>=family_num>=2,False,house_94,1.0,2.0,44.4,22.2
32,16.0,family_num=1,False,house_98,1.0,1.0,44.5,44.5
49,15.0,family_num=1,False,house_13,3.0,1.0,38.25,38.25
55,16.3,3>=family_num>=2,False,house_64,5.0,3.0,48.75,16.25
52,16.5,3>=family_num>=2,False,house_85,4.0,2.0,48.7,24.35
13,15.2,family_num=1,False,house_74,1.0,1.0,42.82,42.82
50,16.0,3>=family_num>=2,False,house_46,6.0,2.0,44.75,22.375
