,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
68,15.2,family_num=1,False,house_74,2.0,1.0,42.82,42.82
67,12.5,3>=family_num>=2,True,house_64,2.0,2.0,48.75,24.375
64,17.0,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
59,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
57,13.8,family_num>3,False,house_85,1.0,4.0,48.7,12.175
24,11.7,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
63,17.0,3>=family_num>=2,False,house_51,3.0,2.0,46.1,23.05
56,17.0,family_num=1,False,house_25,2.0,1.0,42.2,42.2
62,12.4,family_num>3,False,house_44,4.0,4.0,46.14,11.535
52,15.1,3>=family_num>=2,False,house_13,2.0,2.0,38.25,19.125
26,17.0,family_num=1,True,house_99,1.0,1.0,44.51,44.51
54,15.2,3>=family_num>=2,False,house_10,4.0,2.0,38.05,19.025
40,15.0,3>=family_num>=2,False,house_94,1.0,2.0,44.4,22.2
27,14.2,family_num>3,True,house_37,4.0,4.0,58.0,14.5
38,15.6,family_num>3,True,house_78,5.0,4.0,60.3,15.075
43,14.2,family_num>3,False,house_77,4.0,5.0,60.0,12.0
37,15.2,family_num>3,False,house_3,6.0,4.0,61.5,15.375
42,16.5,3>=family_num>=2,True,house_46,4.0,2.0,44.75,22.375
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
0,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
1,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
66,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
39,0.0,family_num=1,True,None,7.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
36,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
