,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,13.8,family_num=1,False,house_74,1.0,1.0,42.82,42.82
68,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,17.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
61,17.6,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
62,14.4,family_num>3,False,house_39,2.0,4.0,57.5,14.375
57,15.8,family_num>3,False,house_98,1.0,4.0,44.5,11.125
60,17.0,3>=family_num>=2,False,house_25,2.0,2.0,42.2,21.1
55,16.7,3>=family_num>=2,False,house_37,1.0,3.0,58.0,19.333333333333332
53,13.8,family_num>3,False,house_52,1.0,4.0,44.3,11.075
59,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
54,17.0,3>=family_num>=2,False,house_71,3.0,2.0,42.82,21.41
28,16.2,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
36,15.8,3>=family_num>=2,True,house_44,1.0,2.0,46.14,23.07
38,15.7,family_num>3,True,house_4,1.0,4.0,61.7,15.425
52,16.0,3>=family_num>=2,False,house_29,2.0,2.0,44.5,22.25
26,16.0,family_num=1,True,house_17,2.0,1.0,38.6,38.6
43,14.2,family_num>3,False,house_77,1.0,5.0,60.0,12.0
27,14.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
46,16.0,family_num=1,False,house_13,2.0,1.0,38.25,38.25
42,16.5,3>=family_num>=2,True,house_46,1.0,2.0,44.75,22.375
13,14.8,family_num=1,False,house_94,1.0,1.0,44.4,44.4
44,14.0,3>=family_num>=2,False,house_3,2.0,3.0,61.5,20.5
37,15.2,family_num>3,False,house_57,4.0,4.0,60.1,15.025
45,16.6,3>=family_num>=2,False,house_10,3.0,2.0,38.05,19.025
35,14.0,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
66,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
56,0.0,family_num=1,False,None,8.0,1.0,0.0,0.0
39,0.0,family_num=1,True,None,7.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
