,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
68,14.4,family_num=1,False,house_25,1.0,1.0,42.2,42.2
1,17.5,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,16.5,3>=family_num>=2,False,house_83,2.0,2.0,48.35,24.175
66,14.9,family_num>3,False,house_85,3.0,4.0,48.7,12.175
61,17.2,3>=family_num>=2,False,house_65,2.0,3.0,49.07,16.356666666666666
62,16.2,family_num>3,False,house_4,2.0,4.0,61.7,15.425
60,16.6,3>=family_num>=2,False,house_74,2.0,2.0,42.82,21.41
55,15.8,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
59,15.2,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
53,15.9,family_num>3,False,house_51,1.0,4.0,46.1,11.525
33,15.7,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
49,16.5,family_num=1,False,house_99,1.0,1.0,44.51,44.51
28,16.1,3>=family_num>=2,False,house_98,1.0,2.0,44.5,22.25
36,17.6,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
27,14.4,family_num>3,True,house_39,1.0,4.0,57.5,14.375
37,14.2,family_num>3,False,house_57,1.0,4.0,60.1,15.025
38,15.9,family_num>3,True,house_77,2.0,4.0,60.0,15.0
35,13.8,3>=family_num>=2,False,house_54,1.0,3.0,58.54,19.513333333333332
30,15.5,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
43,13.7,family_num>3,False,house_46,1.0,5.0,44.75,8.95
26,15.5,family_num=1,True,house_94,2.0,1.0,44.4,44.4
47,11.9,family_num>3,False,house_52,2.0,4.0,44.3,11.075
46,15.5,family_num=1,False,house_17,2.0,1.0,38.6,38.6
44,16.0,3>=family_num>=2,False,house_37,4.0,3.0,58.0,19.333333333333332
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
0,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
56,0.0,family_num=1,False,None,8.0,1.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
39,0.0,family_num=1,True,None,7.0,1.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
