,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
66,14.2,family_num>3,False,house_83,1.0,4.0,48.35,12.0875
69,16.2,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,17.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
60,15.4,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
61,17.6,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
54,17.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
23,16.0,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
52,15.5,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
55,14.6,3>=family_num>=2,False,house_44,2.0,3.0,46.14,15.38
56,15.0,family_num=1,False,house_98,2.0,1.0,44.5,44.5
39,17.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
36,16.0,3>=family_num>=2,True,house_94,1.0,2.0,44.4,22.2
37,15.2,family_num>3,False,house_57,1.0,4.0,60.1,15.025
38,15.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
30,15.0,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
35,14.4,3>=family_num>=2,False,house_37,1.0,3.0,58.0,19.333333333333332
43,16.2,family_num>3,False,house_4,1.0,5.0,61.7,12.34
42,18.0,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
32,16.0,family_num=1,False,house_13,2.0,1.0,38.25,38.25
46,16.7,family_num=1,False,house_71,2.0,1.0,42.82,42.82
25,14.6,3>=family_num>=2,False,house_17,1.0,2.0,38.6,19.3
12,14.4,family_num>3,True,house_46,2.0,4.0,44.75,11.1875
9,17.4,3>=family_num>=2,False,house_54,1.0,3.0,58.54,19.513333333333332
