,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,8.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
68,8.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
0,6.0,3>=family_num>=2,False,house_51,2.0,2.0,46.1,23.05
67,6.0,3>=family_num>=2,True,house_83,1.0,2.0,48.35,24.175
2,5.0,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
63,8.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
66,7.0,family_num>3,False,house_37,3.0,4.0,58.0,14.5
61,4.0,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
56,5.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
64,7.0,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
60,7.0,3>=family_num>=2,False,house_85,3.0,2.0,48.7,24.35
58,8.0,family_num=1,True,house_74,3.0,1.0,42.82,42.82
23,6.0,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
39,7.0,family_num=1,True,house_98,1.0,1.0,44.5,44.5
54,8.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
52,6.0,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
62,7.0,family_num>3,False,house_4,4.0,4.0,61.7,15.425
26,5.0,family_num=1,True,house_29,1.0,1.0,44.5,44.5
65,6.0,family_num=1,False,house_99,6.0,1.0,44.51,44.51
24,7.0,3>=family_num>=2,False,house_77,4.0,3.0,60.0,20.0
32,7.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
46,7.0,family_num=1,False,house_71,1.0,1.0,42.82,42.82
50,6.0,3>=family_num>=2,False,house_52,4.0,2.0,44.3,22.15
55,8.0,3>=family_num>=2,False,house_78,5.0,3.0,60.3,20.099999999999998
13,6.0,family_num=1,False,house_94,1.0,1.0,44.4,44.4
51,6.0,3>=family_num>=2,True,house_3,5.0,3.0,61.5,20.5
49,7.0,family_num=1,False,house_10,5.0,1.0,38.05,38.05
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
36,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
