,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
68,14.4,family_num=1,False,house_25,1.0,1.0,42.2,42.2
1,17.5,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,16.5,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
61,17.2,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
33,15.5,3>=family_num>=2,False,house_98,1.0,2.0,44.5,22.25
2,13.7,3>=family_num>=2,False,house_85,4.0,3.0,48.7,16.233333333333334
59,14.3,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
62,16.8,family_num>3,False,house_57,4.0,4.0,60.1,15.025
56,16.5,family_num=1,False,house_99,3.0,1.0,44.51,44.51
36,17.6,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
38,15.9,family_num>3,True,house_77,2.0,4.0,60.0,15.0
52,16.5,3>=family_num>=2,False,house_94,3.0,2.0,44.4,22.2
30,17.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
32,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
26,16.5,family_num=1,True,house_17,3.0,1.0,38.6,38.6
42,16.5,3>=family_num>=2,True,house_46,2.0,2.0,44.75,22.375
37,13.8,family_num>3,False,house_54,4.0,4.0,58.54,14.635
55,14.7,3>=family_num>=2,False,house_44,7.0,3.0,46.14,15.38
35,16.5,3>=family_num>=2,False,house_78,4.0,3.0,60.3,20.099999999999998
46,16.6,family_num=1,False,house_74,4.0,1.0,42.82,42.82
0,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
66,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
39,0.0,family_num=1,True,None,7.0,1.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
