,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
0,18.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
68,15.2,family_num=1,False,house_74,2.0,1.0,42.82,42.82
63,17.0,3>=family_num>=2,False,house_30,2.0,2.0,44.6,22.3
43,12.2,family_num>3,False,house_65,3.0,5.0,49.07,9.814
40,13.8,3>=family_num>=2,False,house_19,3.0,2.0,27.76,13.88
60,15.4,3>=family_num>=2,False,house_10,2.0,2.0,38.05,19.025
44,16.8,3>=family_num>=2,False,house_37,3.0,3.0,58.0,19.333333333333332
52,16.5,3>=family_num>=2,False,house_83,2.0,2.0,48.35,24.175
53,12.6,family_num>3,False,house_54,3.0,4.0,58.54,14.635
27,15.2,family_num>3,True,house_39,3.0,4.0,57.5,14.375
12,12.1,family_num>3,True,house_64,3.0,4.0,48.75,12.1875
36,17.7,3>=family_num>=2,True,house_29,2.0,2.0,44.5,22.25
37,16.4,family_num>3,False,house_71,3.0,4.0,42.82,10.705
47,14.4,family_num>3,False,house_78,3.0,4.0,60.3,15.075
32,16.0,family_num=1,False,house_94,3.0,1.0,44.4,44.4
30,15.0,3>=family_num>=2,False,house_44,3.0,2.0,46.14,23.07
48,13.4,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
46,16.0,family_num=1,False,house_77,3.0,1.0,60.0,60.0
9,12.6,3>=family_num>=2,False,house_57,3.0,3.0,60.1,20.033333333333335
8,14.0,3>=family_num>=2,False,house_85,3.0,2.0,48.7,24.35
35,14.8,3>=family_num>=2,False,house_46,4.0,3.0,44.75,14.916666666666666
