,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.4,3>=family_num>=2,False,house_94,1.0,3.0,44.4,14.799999999999999
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
68,13.8,family_num=1,False,house_10,1.0,1.0,38.05,38.05
66,13.4,family_num>3,False,house_51,1.0,4.0,46.1,11.525
67,12.5,3>=family_num>=2,True,house_39,1.0,2.0,57.5,28.75
63,15.0,3>=family_num>=2,False,house_46,1.0,2.0,44.75,22.375
2,9.6,3>=family_num>=2,False,house_54,2.0,3.0,58.54,19.513333333333332
64,12.4,3>=family_num>=2,False,house_65,2.0,3.0,49.07,16.356666666666666
65,0.0,family_num=1,False,None,2.0,1.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,1.0,3.0,0.0,0.0
62,0.0,family_num>3,False,None,1.0,4.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
58,0.0,family_num=1,True,None,1.0,1.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,1.0,3.0,0.0,0.0
57,0.0,family_num>3,False,None,1.0,4.0,0.0,0.0
56,0.0,family_num=1,False,None,1.0,1.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,1.0,3.0,0.0,0.0
