,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.4,3>=family_num>=2,False,house_94,1.0,3.0,44.4,14.799999999999999
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
68,13.8,family_num=1,False,house_10,1.0,1.0,38.05,38.05
66,13.4,family_num>3,False,house_51,1.0,4.0,46.1,11.525
64,14.3,3>=family_num>=2,False,house_46,1.0,3.0,44.75,14.916666666666666
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
67,15.2,3>=family_num>=2,True,house_19,2.0,2.0,27.76,13.88
62,14.4,family_num>3,False,house_99,1.0,4.0,44.51,11.1275
60,17.5,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
58,16.5,family_num=1,True,house_30,1.0,1.0,44.6,44.6
24,15.6,3>=family_num>=2,False,house_77,1.0,3.0,60.0,20.0
57,13.2,family_num>3,False,house_17,1.0,4.0,38.6,9.65
55,16.0,3>=family_num>=2,False,house_3,1.0,3.0,61.5,20.5
61,16.2,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
59,16.0,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
56,15.8,family_num=1,False,house_71,2.0,1.0,42.82,42.82
54,17.0,3>=family_num>=2,False,house_78,1.0,2.0,60.3,30.15
51,16.1,3>=family_num>=2,True,house_85,1.0,3.0,48.7,16.233333333333334
50,17.0,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
49,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
28,14.1,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
27,16.6,family_num>3,True,house_4,1.0,4.0,61.7,15.425
52,14.0,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
37,13.2,family_num>3,False,house_39,2.0,4.0,57.5,14.375
47,5.8,family_num>3,False,house_54,3.0,4.0,58.54,14.635
