,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
64,12.4,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
63,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
61,16.2,3>=family_num>=2,False,house_10,1.0,3.0,38.05,12.683333333333332
62,16.4,family_num>3,False,house_64,2.0,4.0,48.75,12.1875
58,16.5,family_num=1,True,house_30,2.0,1.0,44.6,44.6
59,13.4,3>=family_num>=2,False,house_19,1.0,2.0,27.76,13.88
23,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
57,14.0,family_num>3,False,house_4,1.0,4.0,61.7,15.425
55,16.2,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
54,16.0,3>=family_num>=2,False,house_99,2.0,2.0,44.51,22.255
52,16.5,3>=family_num>=2,False,house_98,1.0,2.0,44.5,22.25
39,15.0,family_num=1,True,house_13,1.0,1.0,38.25,38.25
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
50,15.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
26,13.8,family_num=1,True,house_29,1.0,1.0,44.5,44.5
36,16.1,3>=family_num>=2,True,house_52,1.0,2.0,44.3,22.15
27,14.6,family_num>3,True,house_3,2.0,4.0,61.5,15.375
37,13.4,family_num>3,False,house_94,2.0,4.0,44.4,11.1
32,16.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
35,17.2,3>=family_num>=2,False,house_57,1.0,3.0,60.1,20.033333333333335
43,14.2,family_num>3,False,house_77,2.0,5.0,60.0,12.0
44,16.0,3>=family_num>=2,False,house_78,2.0,3.0,60.3,20.099999999999998
25,17.0,3>=family_num>=2,False,house_71,3.0,2.0,42.82,21.41
42,16.5,3>=family_num>=2,True,house_46,4.0,2.0,44.75,22.375
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
68,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
66,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
56,0.0,family_num=1,False,None,8.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
