,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
39,16.5,family_num=1,True,house_98,1.0,1.0,44.5,44.5
0,14.5,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
68,16.1,family_num=1,False,house_94,1.0,1.0,44.4,44.4
1,15.3,family_num=1,False,house_51,1.0,1.0,46.1,46.1
62,11.9,family_num>3,False,house_77,1.0,4.0,60.0,15.0
65,16.5,family_num=1,False,house_30,1.0,1.0,44.6,44.6
66,11.9,family_num>3,False,house_52,1.0,4.0,44.3,11.075
54,18.0,3>=family_num>=2,False,house_39,1.0,2.0,57.5,28.75
57,10.4,family_num>3,False,house_19,1.0,4.0,27.76,6.94
52,16.4,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
33,15.7,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
64,11.9,3>=family_num>=2,False,house_17,2.0,3.0,38.6,12.866666666666667
67,14.4,3>=family_num>=2,True,house_4,2.0,2.0,61.7,30.85
53,15.7,family_num>3,False,house_3,3.0,4.0,61.5,15.375
