,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
60,16.5,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
64,13.9,3>=family_num>=2,False,house_37,2.0,3.0,58.0,19.333333333333332
63,18.0,3>=family_num>=2,False,house_39,2.0,2.0,57.5,28.75
59,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
57,7.2,family_num>3,False,house_54,2.0,4.0,58.54,14.635
55,14.9,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
52,14.2,3>=family_num>=2,False,house_19,2.0,2.0,27.76,13.88
49,15.4,family_num=1,False,house_3,2.0,1.0,61.5,61.5
27,16.6,family_num>3,True,house_4,1.0,4.0,61.7,15.425
35,16.4,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
38,15.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
25,14.0,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
40,17.0,3>=family_num>=2,False,house_98,1.0,2.0,44.5,22.25
