,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
68,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
1,16.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
62,16.2,family_num>3,False,house_4,2.0,4.0,61.7,15.425
24,13.1,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
54,17.4,3>=family_num>=2,False,house_57,1.0,2.0,60.1,30.05
59,14.1,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
39,17.0,family_num=1,True,house_46,2.0,1.0,44.75,44.75
26,17.0,family_num=1,True,house_99,1.0,1.0,44.51,44.51
27,14.6,family_num>3,True,house_54,1.0,4.0,58.54,14.635
37,15.2,family_num>3,False,house_3,1.0,4.0,61.5,15.375
38,15.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
43,15.3,family_num>3,False,house_39,1.0,5.0,57.5,11.5
12,12.5,family_num>3,True,house_37,1.0,4.0,58.0,14.5
45,17.0,3>=family_num>=2,False,house_94,3.0,2.0,44.4,22.2
