,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
2,15.4,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
65,16.5,family_num=1,False,house_30,2.0,1.0,44.6,44.6
60,16.5,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
66,10.2,family_num>3,False,house_57,3.0,4.0,60.1,15.025
63,16.5,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
68,15.0,family_num=1,False,house_19,3.0,1.0,27.76,27.76
23,17.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
24,12.2,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
61,14.9,3>=family_num>=2,False,house_98,2.0,3.0,44.5,14.833333333333334
62,14.4,family_num>3,False,house_37,3.0,4.0,58.0,14.5
59,16.5,3>=family_num>=2,False,house_99,2.0,2.0,44.51,22.255
54,17.5,3>=family_num>=2,False,house_51,2.0,2.0,46.1,23.05
33,15.1,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
57,15.2,family_num>3,False,house_29,3.0,4.0,44.5,11.125
47,11.9,family_num>3,False,house_46,1.0,4.0,44.75,11.1875
56,16.5,family_num=1,False,house_94,3.0,1.0,44.4,44.4
39,18.0,family_num=1,True,house_71,2.0,1.0,42.82,42.82
51,13.9,3>=family_num>=2,True,house_13,2.0,3.0,38.25,12.75
52,15.2,3>=family_num>=2,False,house_10,2.0,2.0,38.05,19.025
53,14.9,family_num>3,False,house_77,3.0,4.0,60.0,15.0
50,14.7,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
38,15.7,family_num>3,True,house_78,2.0,4.0,60.3,15.075
37,13.8,family_num>3,False,house_54,2.0,4.0,58.54,14.635
43,13.9,family_num>3,False,house_3,1.0,5.0,61.5,12.3
35,15.9,3>=family_num>=2,False,house_52,5.0,3.0,44.3,14.766666666666666
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
