,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
67,14.5,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
58,13.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
60,16.5,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
56,14.8,family_num=1,False,house_74,1.0,1.0,42.82,42.82
59,11.9,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
64,13.9,3>=family_num>=2,False,house_37,2.0,3.0,58.0,19.333333333333332
39,16.0,family_num=1,False,house_99,1.0,1.0,44.51,44.51
66,14.8,family_num>3,True,house_4,4.0,4.0,61.7,15.425
23,16.0,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
54,17.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
49,16.0,family_num=1,False,house_98,1.0,1.0,44.5,44.5
61,14.0,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
62,16.9,family_num>3,False,house_57,3.0,4.0,60.1,15.025
24,13.4,3>=family_num>=2,False,house_3,3.0,3.0,61.5,20.5
26,15.0,family_num=1,True,house_94,1.0,1.0,44.4,44.4
52,14.5,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
57,13.6,family_num>3,True,house_77,4.0,4.0,60.0,15.0
32,14.5,family_num=1,True,house_29,1.0,1.0,44.5,44.5
46,16.7,family_num=1,False,house_71,1.0,1.0,42.82,42.82
55,17.0,3>=family_num>=2,False,house_78,4.0,3.0,60.3,20.099999999999998
