tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
68,15.2,family_num=1,True,house_74,1.0,1.0,1.0,42.82,42.82
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
65,16.0,family_num=1,False,house_10,2.0,2.0,1.0,38.05,38.05
67,13.0,3>=family_num>=2,False,house_65,1.0,1.0,2.0,49.07,24.535
58,16.5,family_num=1,False,house_30,1.0,1.0,1.0,44.6,44.6
69,16.2,3>=family_num>=2,False,house_39,2.0,2.0,3.0,57.5,19.166666666666668
63,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
60,16.5,3>=family_num>=2,False,house_85,2.0,2.0,2.0,48.7,24.35
2,9.8,3>=family_num>=2,False,house_37,3.0,3.0,3.0,58.0,19.333333333333332
56,15.0,family_num=1,False,house_19,1.0,1.0,1.0,27.76,27.76
64,14.5,3>=family_num>=2,False,house_57,2.0,2.0,3.0,60.1,20.033333333333335
59,11.9,3>=family_num>=2,False,house_64,1.0,1.0,2.0,48.75,24.375
61,17.0,3>=family_num>=2,False,house_4,2.0,2.0,3.0,61.7,20.566666666666666
62,16.4,family_num>3,False,house_54,3.0,3.0,4.0,58.54,14.635
23,16.0,3>=family_num>=2,False,house_52,2.0,2.0,2.0,44.3,22.15
39,16.0,family_num=1,False,house_99,1.0,1.0,1.0,44.51,44.51
49,16.0,family_num=1,False,house_98,1.0,1.0,1.0,44.5,44.5
54,17.0,3>=family_num>=2,False,house_44,2.0,2.0,2.0,46.14,23.07
33,14.0,3>=family_num>=2,True,house_46,2.0,2.0,2.0,44.75,22.375
26,15.0,family_num=1,True,house_94,1.0,1.0,1.0,44.4,44.4
32,13.5,family_num=1,True,house_71,1.0,1.0,1.0,42.82,42.82
24,15.0,3>=family_num>=2,False,house_78,4.0,4.0,3.0,60.3,20.099999999999998
46,17.0,family_num=1,False,house_29,1.0,1.0,1.0,44.5,44.5
55,16.0,3>=family_num>=2,False,house_3,4.0,4.0,3.0,61.5,20.5
53,14.8,family_num>3,False,house_77,4.0,4.0,4.0,60.0,15.0
13,14.8,family_num=1,True,house_17,1.0,1.0,1.0,38.6,38.6
