tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
68,15.0,family_num=1,True,house_19,2.0,1.0,1.0,27.76,27.76
1,18.0,family_num=1,False,house_25,2.0,2.0,1.0,42.2,42.2
65,15.0,family_num=1,False,house_98,3.0,3.0,1.0,44.5,44.5
57,14.0,family_num>3,True,house_4,1.0,1.0,4.0,61.7,15.425
23,16.0,3>=family_num>=2,False,house_85,1.0,1.0,2.0,48.7,24.35
54,18.0,3>=family_num>=2,False,house_64,1.0,1.0,2.0,48.75,24.375
58,12.5,family_num=1,False,house_13,3.0,3.0,1.0,38.25,38.25
56,15.8,family_num=1,False,house_71,3.0,3.0,1.0,42.82,42.82
27,14.2,family_num>3,False,house_37,1.0,1.0,4.0,58.0,14.5
37,13.2,family_num>3,False,house_39,1.0,1.0,4.0,57.5,14.375
44,14.0,3>=family_num>=2,False,house_3,1.0,1.0,3.0,61.5,20.5
41,15.0,3>=family_num>=2,False,house_78,1.0,1.0,3.0,60.3,20.099999999999998
40,13.0,3>=family_num>=2,True,house_52,1.0,1.0,2.0,44.3,22.15
25,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
