,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
1,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
66,14.8,family_num>3,False,house_4,2.0,4.0,61.7,15.425
68,15.8,family_num=1,False,house_98,3.0,1.0,44.5,44.5
62,16.9,family_num>3,False,house_57,2.0,4.0,60.1,15.025
65,15.0,family_num=1,False,house_99,4.0,1.0,44.51,44.51
24,11.6,3>=family_num>=2,False,house_54,2.0,3.0,58.54,19.513333333333332
58,14.5,family_num=1,True,house_94,4.0,1.0,44.4,44.4
37,15.2,family_num>3,False,house_3,2.0,4.0,61.5,15.375
45,12.2,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
43,15.2,family_num>3,False,house_78,1.0,5.0,60.3,12.059999999999999
25,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
8,16.0,3>=family_num>=2,False,house_46,1.0,2.0,44.75,22.375
