tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
66,14.8,family_num>3,True,house_4,2.0,1.0,4.0,61.7,15.425
68,15.0,family_num=1,True,house_19,2.0,1.0,1.0,27.76,27.76
1,16.0,family_num=1,False,house_98,3.0,2.0,1.0,44.5,44.5
2,11.8,3>=family_num>=2,False,house_57,3.0,2.0,3.0,60.1,20.033333333333335
61,13.2,3>=family_num>=2,False,house_37,2.0,2.0,3.0,58.0,19.333333333333332
62,16.4,family_num>3,False,house_54,3.0,2.0,4.0,58.54,14.635
65,15.0,family_num=1,False,house_99,4.0,3.0,1.0,44.51,44.51
58,14.5,family_num=1,False,house_94,4.0,3.0,1.0,44.4,44.4
47,11.9,family_num>3,True,house_3,1.0,1.0,4.0,61.5,15.375
48,18.0,3>=family_num>=2,False,house_64,1.0,1.0,2.0,48.75,24.375
25,14.0,3>=family_num>=2,False,house_52,1.0,1.0,2.0,44.3,22.15
43,15.2,family_num>3,False,house_78,2.0,2.0,5.0,60.3,12.059999999999999
8,14.0,3>=family_num>=2,False,house_85,1.0,1.0,2.0,48.7,24.35
