tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
65,17.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
58,14.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
56,14.8,family_num=1,False,house_74,1.0,1.0,1.0,42.82,42.82
39,15.0,family_num=1,False,house_13,1.0,1.0,1.0,38.25,38.25
49,17.1,family_num=1,False,house_71,2.0,1.0,1.0,42.82,42.82
32,14.5,family_num=1,True,house_29,1.0,1.0,1.0,44.5,44.5
51,9.8,3>=family_num>=2,False,house_57,3.0,3.0,3.0,60.1,20.033333333333335
69,0.0,3>=family_num>=2,False,None,10.0,2.0,3.0,0.0,0.0
0,0.0,3>=family_num>=2,False,None,10.0,1.0,2.0,0.0,0.0
1,0.0,family_num=1,False,None,10.0,1.0,1.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,3.0,0.0,0.0
68,0.0,family_num=1,True,None,10.0,1.0,1.0,0.0,0.0
66,0.0,family_num>3,True,None,10.0,1.0,4.0,0.0,0.0
67,0.0,3>=family_num>=2,False,None,9.0,1.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,2.0,3.0,0.0,0.0
63,0.0,3>=family_num>=2,False,None,9.0,2.0,2.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,3.0,3.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,3.0,4.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,2.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,8.0,2.0,2.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,3.0,3.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,3.0,4.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,3.0,3.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,8.0,3.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,2.0,2.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,7.0,2.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,2.0,4.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,2.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,2.0,0.0,0.0
27,0.0,family_num>3,False,None,6.0,2.0,4.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,2.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,3.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,3.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,2.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,1.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,2.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,2.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,1.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,2.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,2.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,1.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,3.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,2.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,1.0,2.0,0.0,0.0
