tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
66,11.9,family_num>3,True,house_39,1.0,1.0,4.0,57.5,14.375
69,14.2,3>=family_num>=2,False,house_83,1.0,1.0,3.0,48.35,16.116666666666667
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
2,12.8,3>=family_num>=2,False,house_74,2.0,1.0,3.0,42.82,14.273333333333333
65,14.0,family_num=1,False,house_19,2.0,2.0,1.0,27.76,27.76
67,16.6,3>=family_num>=2,False,house_10,1.0,1.0,2.0,38.05,19.025
64,17.0,3>=family_num>=2,False,house_4,1.0,1.0,3.0,61.7,20.566666666666666
63,17.0,3>=family_num>=2,False,house_30,1.0,1.0,2.0,44.6,22.3
61,17.6,3>=family_num>=2,False,house_65,1.0,1.0,3.0,49.07,16.356666666666666
62,14.4,family_num>3,False,house_85,2.0,2.0,4.0,48.7,12.175
60,16.5,3>=family_num>=2,False,house_98,2.0,2.0,2.0,44.5,22.25
57,10.4,family_num>3,True,house_37,1.0,1.0,4.0,58.0,14.5
59,11.9,3>=family_num>=2,False,house_64,1.0,1.0,2.0,48.75,24.375
58,12.5,family_num=1,False,house_13,3.0,2.0,1.0,38.25,38.25
23,15.0,3>=family_num>=2,False,house_99,2.0,1.0,2.0,44.51,22.255
24,13.9,3>=family_num>=2,False,house_52,2.0,2.0,3.0,44.3,14.766666666666666
54,17.0,3>=family_num>=2,False,house_44,2.0,2.0,2.0,46.14,23.07
56,16.0,family_num=1,False,house_94,3.0,2.0,1.0,44.4,44.4
52,16.0,3>=family_num>=2,False,house_29,2.0,2.0,2.0,44.5,22.25
53,13.8,family_num>3,False,house_46,2.0,2.0,4.0,44.75,11.1875
50,18.0,3>=family_num>=2,False,house_71,2.0,2.0,2.0,42.82,21.41
49,16.0,family_num=1,False,house_17,3.0,3.0,1.0,38.6,38.6
47,5.8,family_num>3,True,house_54,2.0,2.0,4.0,58.54,14.635
27,14.6,family_num>3,False,house_78,2.0,2.0,4.0,60.3,15.075
38,16.2,family_num>3,False,house_77,4.0,4.0,4.0,60.0,15.0
68,0.0,family_num=1,True,None,10.0,1.0,1.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,2.0,3.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,2.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,7.0,1.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,2.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,2.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,3.0,2.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,4.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,3.0,2.0,0.0,0.0
