,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
66,13.4,family_num>3,False,house_51,1.0,4.0,46.1,11.525
68,15.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
64,15.8,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
61,17.6,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
24,14.6,3>=family_num>=2,False,house_85,1.0,3.0,48.7,16.233333333333334
56,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
63,15.0,3>=family_num>=2,False,house_44,3.0,2.0,46.14,23.07
52,15.5,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
49,17.0,family_num=1,False,house_10,1.0,1.0,38.05,38.05
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
55,14.9,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
53,14.8,family_num>3,False,house_37,1.0,4.0,58.0,14.5
23,16.0,3>=family_num>=2,False,house_39,3.0,2.0,57.5,28.75
54,15.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
47,11.8,family_num>3,False,house_52,1.0,4.0,44.3,11.075
59,16.0,3>=family_num>=2,False,house_98,3.0,2.0,44.5,22.25
43,14.6,family_num>3,False,house_94,1.0,5.0,44.4,8.879999999999999
38,15.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
46,17.0,family_num=1,False,house_29,2.0,1.0,44.5,44.5
42,14.1,3>=family_num>=2,True,house_17,1.0,2.0,38.6,19.3
37,16.2,family_num>3,False,house_4,3.0,4.0,61.7,15.425
41,15.4,3>=family_num>=2,False,house_77,2.0,3.0,60.0,20.0
26,13.2,family_num=1,True,house_71,4.0,1.0,42.82,42.82
28,15.8,3>=family_num>=2,False,house_13,5.0,2.0,38.25,19.125
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,9.0,2.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
58,0.0,family_num=1,True,None,9.0,1.0,0.0,0.0
57,0.0,family_num>3,False,None,8.0,4.0,0.0,0.0
39,0.0,family_num=1,True,None,7.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
27,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
36,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
32,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
