,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
65,17.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
68,15.0,family_num=1,True,house_19,2.0,1.0,27.76,27.76
66,10.2,family_num>3,True,house_65,2.0,4.0,49.07,12.2675
63,17.0,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
60,16.5,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
64,17.0,3>=family_num>=2,False,house_4,1.0,3.0,61.7,20.566666666666666
1,16.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
23,16.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
67,15.5,3>=family_num>=2,False,house_83,2.0,2.0,48.35,24.175
61,16.2,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
54,17.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
33,16.4,3>=family_num>=2,True,house_10,1.0,2.0,38.05,19.025
58,14.5,family_num=1,False,house_99,3.0,1.0,44.51,44.51
52,15.1,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
24,13.0,3>=family_num>=2,False,house_44,2.0,3.0,46.14,15.38
55,15.8,3>=family_num>=2,False,house_54,2.0,3.0,58.54,19.513333333333332
27,15.2,family_num>3,False,house_52,1.0,4.0,44.3,11.075
59,16.0,3>=family_num>=2,False,house_94,3.0,2.0,44.4,22.2
57,10.0,family_num>3,True,house_71,3.0,4.0,42.82,10.705
53,11.8,family_num>3,False,house_57,2.0,4.0,60.1,15.025
36,17.7,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
30,17.0,3>=family_num>=2,False,house_46,1.0,2.0,44.75,22.375
48,13.4,3>=family_num>=2,False,house_17,1.0,2.0,38.6,19.3
47,12.3,family_num>3,True,house_37,2.0,4.0,58.0,14.5
37,15.2,family_num>3,False,house_78,3.0,4.0,60.3,15.075
38,13.7,family_num>3,False,house_3,4.0,4.0,61.5,15.375
0,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,4.0,0.0,0.0
56,0.0,family_num=1,False,None,8.0,1.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,1.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
