,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
1,13.8,family_num=1,False,house_74,1.0,1.0,42.82,42.82
68,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,18.0,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
66,15.2,family_num>3,False,house_85,3.0,4.0,48.7,12.175
59,11.9,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
64,15.9,3>=family_num>=2,False,house_44,3.0,3.0,46.14,15.38
61,16.2,3>=family_num>=2,False,house_10,4.0,3.0,38.05,12.683333333333332
62,14.2,family_num>3,False,house_3,4.0,4.0,61.5,15.375
54,17.0,3>=family_num>=2,False,house_78,4.0,2.0,60.3,30.15
33,15.0,3>=family_num>=2,False,house_99,3.0,2.0,44.51,22.255
13,15.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
30,17.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
