,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,17.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
69,17.2,3>=family_num>=2,False,house_37,3.0,3.0,58.0,19.333333333333332
67,12.5,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
58,14.5,family_num=1,False,house_98,2.0,1.0,44.5,44.5
59,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
2,12.6,3>=family_num>=2,False,house_52,4.0,3.0,44.3,14.766666666666666
56,16.0,family_num=1,False,house_99,2.0,1.0,44.51,44.51
39,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
60,16.5,3>=family_num>=2,False,house_85,3.0,2.0,48.7,24.35
23,14.2,3>=family_num>=2,False,house_19,2.0,2.0,27.76,13.88
61,16.2,3>=family_num>=2,False,house_46,4.0,3.0,44.75,14.916666666666666
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
33,14.6,3>=family_num>=2,True,house_44,2.0,2.0,46.14,23.07
28,16.5,3>=family_num>=2,True,house_29,2.0,2.0,44.5,22.25
32,13.5,family_num=1,True,house_71,1.0,1.0,42.82,42.82
24,15.0,3>=family_num>=2,False,house_78,4.0,3.0,60.3,20.099999999999998
46,15.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
27,14.2,family_num>3,False,house_77,3.0,4.0,60.0,15.0
50,17.0,3>=family_num>=2,False,house_25,6.0,2.0,42.2,21.1
68,0.0,family_num=1,True,None,10.0,1.0,0.0,0.0
66,0.0,family_num>3,True,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
63,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,4.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,4.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,3.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
